,id,name,genres,publisher,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors,AuthorConnections,PublisherConnections
10,10,The Book of Repulsive Women and Other Poems,['Poetry'],Psychology Press,2003,83.0,,,,,NOT_MATURE,en,"First published in 2004. Routledge is an imprint of Taylor & Francis, an informa company.",http://books.google.com/books/content?id=-4A0xb18iJYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Djuna Barnes'],[5],[]
11,11,Selected Works of Djuna Barnes,['Fiction in English'],,1998,366.0,,,2.5,2.0,NOT_MATURE,en,"The best writings of one of the great twentieth-century American stylists, whose extraordinary novel Nightwood, about rootless and sexually ambiguous expatriates in Paris between the wars, is a modern classic. T. S. Eliot praised it for 'the great achievement of a style, the beauty of phrasing, the brilliance of wit and characterisation, and the quality of horror and doom very nearly related to that of Elizabethan tragedy'. As well as Nightwood this striking volume contains Spillway, a collection of early stories, and the rare and remarkable verse play The Antiphon, completed at the end of Djuna Barnes's life.",http://books.google.com/books/content?id=MPVNHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
12,12,Lydia Steptoe Stories,['Man-woman relationships'],Faber & Faber Limited,2019-01-03,48.0,,,4.0,1.0,NOT_MATURE,en,"In these three stories, written by Djuna Barnes under the pseudonym Lydia Steptoe, three characters find themselves on the brink of a sexual awakening - accompanied by guns, whips, and worldly innuendo.",http://books.google.com/books/content?id=S9fuugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
13,13,The Antiphon,['Drama'],Green Integer Books,2000,203.0,,,,,NOT_MATURE,en,The important long play by Djuna Barnes.,http://books.google.com/books/content?id=3ttiPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
14,14,Poe's Mother,['Art'],Sun and Moon Press,1995,241.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=lX9xQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['Djuna Barnes', 'Douglas Messerli']",[5],[]
15,15,Ryder,,,1979,323.0,,,,,NOT_MATURE,en,,,['Djuna Barnes'],[5],[]
16,16,At the Roots of the Stars,['Drama'],Sun and Moon Press,1995,190.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=Nx9aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
17,17,"Smoke, and Other Early Stories",['Manners and customs'],"College Park, Md. : Sun & Moon Press",1982,180.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=OdiVswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
18,18,Creatures in an Alphabet,['Alphabet rhymes'],Dell Books for Young Readers,1982,64.0,,,,,NOT_MATURE,en,Vierregelige gedichten over dieren.,http://books.google.com/books/content?id=UD9aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Djuna Barnes'],[5],[]
19,19,Pecho frío,['Fiction'],Vintage Espanol,2018-11-06,368.0,,,,,NOT_MATURE,en,"A menudo controvertido, pero siempre muy directo, Jaime Bayly impresionará a sus lectores con esta nueva novela de ficción satírica y sumamente humorística, en la que explora el lugar de la homosexualidad en la sociedad latinoamericana y desafía el status quo. Pecho Frío es un hombre común. Está casado, vive en Lima, Perú y trabaja como banquero. No lleva una vida muy emocionante, pero tampoco tiene nada de que quejarse... hasta el día en que decide concursar en un programa de televisión donde se enfrenta con la oportunidad de ganar un viaje lujoso. Todo lo que tiene que hacer es una cosa aparentemente sencilla: besar al anfitrión del programa. Renuente, pero también ansioso por reclamar su premio, acepta el reto, y antes de siquiera darse cuenta, se encuentra entrelazando lenguas con otro hombre, mientras todo queda grabado en televisión en vivo. Lo que se desarrolla es una serie de, uno diría, ""eventos desafortunados"". Su matrimonio se resquebraja, sus colegas lo rechazan, y la siempre conservadora sociedad latinoamericana en la que vive lo convierte en el tonto de la ciudad. Pero hay una ventaja: se convierte en la cara de una vociferante organización LGBT y, de alguna manera, su vida da un giro hacia lo inesperado.",http://books.google.com/books/content?id=oJNbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Jaime Bayly'],[6],[]
20,20,El huracán lleva tu nombre,['Fiction'],Planeta Publishing Corporation,2004,462.0,,,5.0,1.0,NOT_MATURE,es,"Gabriel ama a Sofía pero también le gustan los hombres. Gabriel tiene mucho éxito en televisión, pero lo que ansía de verdad es huir del Perú y dedicarse sólo a a escribir, lejos de la ambigüedad y de la hipocresía que lo envuelven y lo limitan. El huracán lleva tu nombre es una singular historia de amor, dolorosa y gozosa a la vez, con una heroína, Sofía, que fascina por su capacidad de amar, y con un original antihéroe, el narrador, Gabriel, que expone al lector su conflicto a través de una sinceridad a veces hilarante y a veces conmovedora. Una novela que no va a dejar a nadie indiferente.",http://books.google.com/books/content?id=a6ddAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Jaime Bayly'],[6],[]
21,21,Pecho Frío,['Fiction'],Vintage Espanol,2018,336.0,,,,,NOT_MATURE,es,"""Un día cualquiera, Pecho Frío, tímido empleado bancario, asiste a un programa concurso de TV. Cuando lo eligen para participar en una serie de pruebas, de las cuales el premio mayor es un viaje a Punta Sal, la audiencia lo anima a besar en la boca al animador. Ese inocente beso lo cambia todo. Llevado por las circunstancias, por sus desbordadas abiciones y por su condición de pelele al servicio de intereses mayores, nuestro epleado bancario se convertirá en personaje de noticieros, en líder del Movimienot Homosxual, en amante heterosexual impetuoso, en candidado al Congreso de le República y en prófugo de la justicia. La farsa, con sus acontecimientos y personajes esperpénticos, es espejo y respresentación de la realidad que nos rodea y dejará al lecotr, entre el humor y la sátira, frente a la imagen desnuda de un país de opereta.""--Page 4 de la couverture.",http://books.google.com/books/content?id=R8JyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Jaime Bayly'],[6],[]
22,22,Mapp and Lucia,['Fiction'],McClelland & Stewart,2015-07-07,251.0,,,4.5,17.0,NOT_MATURE,en,"The fourth volume of E.F. Benson’s wildly satirical take on the Edwardian English upper class. The books were recently adapted by the BBC into a mini-series starring Sherlock’s Mark Gatiss. Miss Elizabeth Mapp is the undisputed queen of the social scene in the village of Tilling – undisputed, that is, until the arrival of Emmeline “Lucia” Lucas, someone just as clever and determined as she is. The two women, backed by their respective coteries, clash for dominance over the local society scene. Penguin Random House Canada is proud to bring you classic works of literature in e-book form, with the highest quality production values. Find more today and rediscover books you never knew you loved.",http://books.google.com/books/content?id=3t0mCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['E. F. Benson'],[8],[331]
23,23,Poems: North & South,['American poetry'],,1955,95.0,,,,,NOT_MATURE,en,,http://books.google.com/books/content?id=k_wOAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Elizabeth Bishop'],[9],[]
24,24,The Complete Poems 1927-1979,['American poetry'],Chatto & Windus,1984,287.0,,,4.0,9.0,NOT_MATURE,en,,,['Elizabeth Bishop'],[9],[123]
25,25,Songs for Angel,['Fiction'],House of Anansi,2021-07-06,184.0,https://play.google.com/store/books/details?id=p30DEAAAQBAJ&rdid=book-p30DEAAAQBAJ&rdot=1&source=gbs_api,16.95,,,NOT_MATURE,en,"The ninth novel in internationally acclaimed author Marie-Claire Blais’s extraordinary Soifs cycle, Songs for Angel is an impassioned interrogation of violence and hate that takes us into the soul of a white supremacist on the verge of a racist attack. In the penultimate installment of the magnificent and ambitious Soifs cycle, widely regarded as one of the most original and ambitious endeavors ever to be undertaken in contemporary literature, renowned novelist Marie-Claire Blais once again marries the highest artistic standards with the most pressing human and political concerns. Revisiting figures from the previous novels in a swirling fresco of more than a hundred characters, Blais also takes us into the soul of “the Young Man,” a white supremacist preparing to attack a Black church and murder its entire congregation. This is an extraordinary portrait of the times that jostles and discomboluates the reader while inviting us to see the world in all its injustice and distress, but also its promise and beauty. Songs for Angel reminds us that Blais is a writer who never ceases to situate us in the world and the roles we play in it, and that reading her is always an unforgettable human experience.",http://books.google.com/books/content?id=p30DEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
26,26,A Twilight Celebration,['Fiction'],House of Anansi,2019-07-30,288.0,https://play.google.com/store/books/details?id=rLSGDwAAQBAJ&rdid=book-rLSGDwAAQBAJ&rdot=1&source=gbs_api,16.95,,,NOT_MATURE,en,"The latest work in internationally acclaimed author Marie-Claire Blais’s masterful novel cycle, A Twilight Celebration examines the prophetic side of the writer and the burden that falls to him in a world whose fate is yet to be determined. Daniel, a middle-aged novelist and loving father alienated from one of his sons and unsure how to care for his daughter, is on his way to an international conference of writers. The gathering is to be held in the forest above a mountain village of a strangely dreamlike nature. In the twilight of the festival’s setting, dreams, memories, nightmares, and dark forebodings meld in Daniel’s unsettled but deeply sympathetic consciousness: He is haunted by pressing existential questions: What is to be done? What are his responsibilities as a father, as a friend — and as a writer? As Daniel confronts his own vanities, as he recalls the activism but also the disappointments and betrayals of friends and colleagues — as he contends with, above all, the fears and aspirations of his children in times marred by apocalypse, he asks, ultimately, what can be done? In what may well be the most beautiful and disturbing of her novels, Marie-Claire Blais leads us on a heady, spellbinding journey through an interconnected world in which the artist strives to divert humankind’s headlong rush towards a terrible destiny. Here is a world in which friends and strangers, the living, the dead and those not yet born, are inextricably bonded by their often flawed but always splendid humanity. Yet again, Blais captivates with her urgent concerns, irrepressible empathy, and singular idiom: A Twilight Celebration is an astonishing literary accomplishment.",http://books.google.com/books/content?id=rLSGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
27,27,Mai at the Predators' Ball,['Fiction'],House of Anansi,2012,240.0,,,,,NOT_MATURE,en,"A group of imaginary beings perform every night at the Saloon, welcoming the outsiders of society and giving them a place to belong in this new novel from the award-winning and internationally renowned author of La Belle Bête (Mad Shadows). Original.",http://books.google.com/books/content?id=NxunPEfW0oQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
28,28,American Notebooks,['Biography & Autobiography'],"Burnaby, B.C. : Talonbooks",1996,207.0,,,,,NOT_MATURE,en,"Portraits of the writers, musicians, artists and social activists who influenced the life and work of Blais in the 1960s.",http://books.google.com/books/content?id=F3xcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Marie-Claire Blais'],[10],[]
29,29,These Festive Nights,['Fiction'],House of Anansi,2018-08-07,312.0,https://play.google.com/store/books/details?id=m1BtDwAAQBAJ&rdid=book-m1BtDwAAQBAJ&rdot=1&source=gbs_api,14.95,,,NOT_MATURE,en,"The first volume in the beloved novelist Marie-Claire Blais’ prize-winning novel cycle — acclaimed as one of the greatest undertakings in modern Quebec fiction — reissued in a handsome A List edition, featuring an introduction by Lisa Moore. Originally published in 1995 under the title Soifs, the first novel in Marie-Claire Blais’ masterful series won the Governor General’s Award for French Fiction and was hailed by critics around the world as a tour de force, comparing Blais to such literary greats as Virginia Woolf, Dante, Sophocles, and Shakespeare. In this dazzling rendering, These Festive Nights, celebrated translator Sheila Fischman brings Blais’ novel to life for English-speaking readers. A sun-drenched paradise in the Gulf of Mexico surrounded by the glimmering blue sea; Renata is convalescing on this island poised between two worlds: between great wealth and extreme poverty, between the past and an uncertain future, between the beauty of the world and the horrors of history. During her time here, Renata becomes tormented by thirst — for justice, for pleasure, for intoxication — while all around her, festivities are going on in joint celebration of the birth of baby Vincent and the end of the twentieth century. Over the course of three days and three nights a flock of characters assembles — an entire spectrum of humanity is depicted in the grip of doubt and suffering. In this swirling, baroque fresco, Marie-Claire Blais captures the essence of our apocalyptic age, rendering it in powerfully evocative prose.",http://books.google.com/books/content?id=m1BtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
30,30,The Collected Stage Drama of Marie-Claire Blais,['Drama'],Cormorant Books,2008-05-30,400.0,,,,,NOT_MATURE,en,"Best known as the most important voice in Quobcois fiction of the last fifty years, Marie-Claire Blais is also an accomplished playwright. Her works have been performed in French on Radio-Canada, and on the stages of Montreal and Quebec City. In her stage plays, as with her radio plays and her fiction, Marie-Claire Blais works from a post-religious world view, but with the structures of religion in place; in short, she is a contemporary Dante, writing about good and evil in a civil context. Her characters, however, are more than just symbols; they are real people, struggling with moral dilemmas. In the novel, A Season in the Life of Emmanuel, Blais wrote from the point of view of a child under a table; the point of view itself was a metaphor for the society in which she found herself in the late 1950s and early 1960s, just prior to Quebec_s Quiet Revolution. The plays included in this edition are evidence of Blais_ great talent when brought to bear on the theatre, especially in the plays The Execution, Desire, and Envy.",,['Marie-Claire Blais'],[10],[]
31,31,Deaf to the City,['Social Science'],"Exile Editions, Ltd.",2007-06,187.0,,,,,NOT_MATURE,en,"This compelling story explores the motley crew of characters--including mother-turned-stripper Gloria, alcoholic Tim, frequent jailbird Charlie, and the suicidal wife of a rich doctor--who call the rundown Hôtel des Voyageurs home. Mesmerizing in its passion and humility, the narrative evokes the despair and innocence present in modern urban surroundings.",http://books.google.com/books/content?id=uMellzp3iBQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
32,32,Augustino and the Choir of Destruction,['Fiction'],House of Anansi,2007-05-01,232.0,https://play.google.com/store/books/details?id=PN5hAwAAQBAJ&rdid=book-PN5hAwAAQBAJ&rdot=1&source=gbs_api,16.95,,,NOT_MATURE,en,"In Augustino and the Choir of Destrucion literary legend and three-time winner of the Governor General's Literary Award Marie-Claire Blais delivers the third volume in the prize-winning series (These Festive Nights, Thunder and Light, Augustino and the Choir of Destruction, and Rebecca, Born in the Maelstrom) acclaimed as one of the greatest undertakings in modern Quebec fiction. Augustino and the Choir of Destruction is set on an island in the Gulf of Mexico that is home to the full spectrum of humanity: the rich, the poor, the powerful, the humble, artists, criminals. With her unique, signature use of punctuation, Marie-Claire Blais manages to brilliantly show in one flashing stroke men and women; victims and tormentors; child kamikaze pilots and petty thieves from Bahama Street; Charles, a great poet cut down by AIDS; Cinderella, a transvestite prostituting himself to a customer at the Porte du Baiser saloon; Caroline, an artist and photographer who has seen all the hidden treasures of the world; and Augustino, a clairvoyant child-writer. These individual destinies combine in Blais' vision to form a single harmonic texture.",http://books.google.com/books/content?id=PN5hAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
33,33,Anna's World,['Fiction'],,2010-04-01,155.0,,,,,NOT_MATURE,en,"ANNA'S WORLD explores contemporary life and the penetrating energy of youth as Blais looks at teenagers by creating Anna, an introspective, alienated teenager without hope. Anna has experienced what life today has to offer and rejected its premise. There is really no point in going on. We are all going to die, if we are not already dead, is Anna’s philosophy. Anna and her friend Michelle have experimented with sex and drugs, they have taken the obligatory dance or music lessons in an attempt, perhaps, to find some meaning in their existence, but they remain essentially alone and empty. They are not bored; they are without hope, without hope of finding peace or even living long enough to begin to search. Anna’s indifference to life is chilling, often terrifying, primarily because Blais convinces us that this is not just reality for Anna, but represents life for many young people here and now. Blais never lets us escape from this fact, nor the fear.",http://books.google.com/books/content?id=8cdRPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['Marie-Claire Blais', 'Sheila Fischman']",[10],[]
34,34,"Nothing for You Here, Young Man",['Fiction'],House of Anansi,2014-05-16,232.0,https://play.google.com/store/books/details?id=VJuSAwAAQBAJ&rdid=book-VJuSAwAAQBAJ&rdot=1&source=gbs_api,16.95,,,NOT_MATURE,en,"In the latest installment in her award-winning series, Marie-Claire Blais reintroduces us to Petites Cendres, familiar from other books in the cycle, and lets us into the lives of two other unforgettable characters. She shows us, once again, how creativity and hope and suffering and exclusion intersect. There is the writer who is stranded in an airport of the South Island, he is held captive because of a delayed flight. And a teenage musician, a former child prodigy living on the streets with his dog, wonders where he will get his next meal. Then there is Petites Cendres, who no longer dances or sings and refuses to get out of bed to attend the coronation of the new Queen of Night. By superimposing these three worlds, Blais continues her ambitious, compelling exploration of life in contemporary North America",http://books.google.com/books/content?id=VJuSAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
35,35,Thunder and Light,['Fiction'],House of Anansi,2018-08-04,216.0,https://play.google.com/store/books/details?id=66-aDwAAQBAJ&rdid=book-66-aDwAAQBAJ&rdot=1&source=gbs_api,14.95,,,NOT_MATURE,en,"The second volume in the beloved novelist Marie-Claire Blais’s prize-winning novel cycle — acclaimed as one of the greatest undertakings in modern Quebec fiction — reissued in a handsome A List edition. Originally published in 2001, Thunder and Light is the second volume in Marie-Claire Blais’s prize-winning Soifs series, hailed as one of the greatest undertakings in modern Quebec fiction. Powered by its characters’ gripping exploration of the world’s dark corners, the novel is a teeming microcosm in which boundaries collapse and the extremes and contradictions that animate our times are reconciled. Blais locks us directly into the consciousness of her characters, many of whom we met in her previous novel, These Festive Nights, and many that she derives from actual news stories: Jessica, a seven-year-old attempting to beat the world record as the youngest pilot to cross the continent; Nathanaël, a teenager on death row for killing his favourite teacher; Our Lady of the Bags, a modern-day Joan of Arc who lives among Manhattan’s skyscrapers and follows the voices in her head; and Caroline and Jean-Mathieu, aging artists who are fighting to come together again. One character’s thoughts or actions have consequences for another 3,000 miles away who is a complete stranger to the first. This is an intricate house of cards, delicately but expertly constructed, that shocks us in its perversity and familiarity, ultimately finding hope and redemption in the most human and basic forms of art.",http://books.google.com/books/content?id=66-aDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
36,36,The Acacia Gardens,['Fiction'],House of Anansi,2016-06-04,184.0,https://play.google.com/store/books/details?id=_3pFDAAAQBAJ&rdid=book-_3pFDAAAQBAJ&rdot=1&source=gbs_api,16.95,,,NOT_MATURE,en,"What anxiety grips Petites Cendres as he runs towards the sea in the sunshine on a warm tropical morning? Shouldn’t he be reassured by the thought that he now lives at the Acacia Gardens, a comfortable home where all find care, understanding, and healing? How can Fleur, the young musical prodigy, listen to the diabolical confessions of Wrath, the fugitive priest, without shuddering? And, can Daniel the writer finish his novel, the one he has been working on for twenty years, despite his sensitivity and empathy for all creatures, even if they are the most humble, like the lizard he inadvertently crushed under his sandal? With this latest novel, Marie-Claire Blais once again gives us a vibrant portrait that embraces the span of life — from birth to death and beyond. Her characters question their purpose and what will come after, as they are confronted by evil that lives and that has taken root.",http://books.google.com/books/content?id=_3pFDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Marie-Claire Blais'],[10],[]
37,37,The Wolf,['Fiction'],Exile Classics,2008,129.0,,,,,NOT_MATURE,en,"A human wolf who operates outside the bounds of conventional morality stalks human prey in this spell-binding morose masterpiece of psychic cannibalism, hatred, perversity, and predatory love. This unconventional and provocative story explores the world of male homosexuality.",http://books.google.com/books/content?id=Qn3zAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Marie-Claire Blais'],[10],[]
38,38,The Collected Radio Drama of Marie-Claire Blais,"['Radio plays, Canadian (French)']",Cormorant Books,2005,300.0,,,,,NOT_MATURE,en,"Best known for her novels, Mad Shadows, A Season in the Life of Emmanuel,These Festive Nights, and Thunder and Light, among many, many more, Marie-Claire Blais has also been very productive as a dramatist, writing many plays for the radio and the stage. Mostly written for the French-language Radio Canada in the late 1970s and early 1980s, these plays show another side of Marie-Claire Blais' talent; they explore, in multiple voices, themes that also appear in her fiction and poetry: a shattered emotional, intellectual, and psychological landscape, although not devoid of hope. Plays included in this volume are Vanished, Invader,Two Fates, Murmurs, Garden in the Storm, A Couple,The Exile, and Fever.",,"['Marie-Claire Blais', 'Nigel Spencer']",[10],[]
