name,bio
imprint,"An imprint of a publisher is a trade name under which it publishes a work. A single publishing company may have multiple imprints, often using the different names as brands to market works to various demographic consumer segments.[1]
"
Simon & Schuster,"
"
Alfred A. Knopf,"Alfred A. Knopf, Inc. (/knɒpf/) is an American publishing house that was founded by Alfred A. Knopf Sr. and Blanche Knopf in 1915.[1] Blanche and Alfred traveled abroad regularly and were known for publishing European, Asian, and Latin American writers in addition to leading American literary trends. It was acquired by Random House in 1960, and is now part of the Knopf Doubleday Publishing Group division of Penguin Random House which is owned by the German conglomerate Bertelsmann.[2][3] The Knopf publishing house is associated with its borzoi colophon, which was designed by co-founder Blanche Knopf in 1925.[4]
"
Allen & Unwin,"
"
Allison & Busby,"Allison & Busby (A & B) is a publishing house based  in London established by Clive Allison and Margaret Busby in 1967.[3][4][5]  The company has built up a reputation as a leading independent publisher.[6]
"
Alma Books,"Alma Books is a publishing house based in Richmond, London, founded in 2005 by Alessandro Gallenzi and Elisabetta Minervini, the founders of Hesperus Press. It publishes mainly fiction, both by authors from the English-speaking world and in translation from languages such as French, German, Italian, Russian, Spanish and Japanese.[2]
"
Alyson Books,"
"
American Graphics Institute,"American Graphics Institute (AGI) is a certified company that provides publishing, consulting and technical training. The institute also writes and publishes books about, business strategy and design technology.[1]
"
André Deutsch,"
"
Carlton Publishing Group,"Welbeck Publishing Group, formerly Carlton Publishing Group, is a London-based independent book publisher of fiction, narrative and illustrated non-fiction, as well as gift and children's books. Established in 2019 by Executive Directors Mark Smith and Marcus Leaver,[3] the business specialises in commercial publishing in 30 languages and in more than 60 countries around the world, across all genres and categories.
"
Andrews McMeel Publishing,"Hugh T. Andrews (Owner)
"
Anova Books,"Pavilion Books Holdings Ltd is an English publishing company based in London.
"
Pavilion Books,"Pavilion Books Holdings Ltd is an English publishing company based in London.
"
Antenne Books,"Antenne Books is a distributor of independent art publishers.
"
Anvil Press Poetry,"Anvil Press Poetry is an independent poetry publisher based in Greenwich, south-east London. It was founded in 1968 by Peter Jay and specialises in contemporary English poets,[1] with a leavening of Irish and American, and in a range of translated poetry, from ancient classics to modern and contemporary poets.
"
Applewood Books,"Applewood Books is a publishing company which specializes in reissuing original versions of historical books, founded by Phil Zuckerman in 1976.
"
Apress,"Apress Media LLC is a publisher of information technology books, based in New York City. It is a division of Springer Nature.
"
Arbor House,"Arbor House was an independent publishing house founded by Donald Fine in 1969. Specializing in hard cover publications, Arbor House published works by Hortense Calisher, Ken Follett, Cynthia Freeman, Elmore Leonard and Irwin Shaw before being acquired by the Hearst Corporation in 1979 to move into paperback publishing.[1] Arbor House became an imprint of William Morrow & Company in 1988.[2]
"
Arbordale Publishing,"Arbordale Publishing is an independent children's book publishing[1] company located in Mount Pleasant, SC.[2]
"
Arcade Publishing,"Arcade Publishing is an independent trade publishing company that started in 1988 in New York, USA. It publishes American and world fiction and nonfiction.[1]
"
Arcadia Publishing,"
"
Arkham House,"
"
Arktos Media,"Arktos Media is a publishing company known for publishing authors of the European New Right, as well as translating European far-right literature into English.[2] Founded in India in 2009 by Swedish businessman Daniel Friberg and John B. Morgan, an American editor, Arktos was launched in 2010, then relocated to Sweden in 2014 and Hungary in 2015. Friberg had previously distributed white power music and Nazi paraphernalia before starting the company. His stated goal was to create a Swedish parallel to American alt-right media.[3]
"
Armida Publications,"Armida Publications is an independent publishing house based in Nicosia, Cyprus.
"
ArtScroll,"ArtScroll is an imprint of translations, books and commentaries from an Orthodox Jewish perspective published by Mesorah Publications, Ltd., a publishing company based in Rahway, New Jersey. Rabbi Nosson Scherman is the general editor.[1]
"
Ash-Tree Press,"Ash-Tree Press is a Canadian company that publishes supernatural and horror literature.
"
Athabasca University Press,"Athabasca University Press (or AU Press) is a scholarly publisher and a division of Athabasca University. Since its 2007 founding, the Press has published over 120 peer-reviewed books, which include titles in North American Western history, labour studies, distance and online education, and indigenous studies. AU Press has also published works of fiction, drama, poetry, and autobiography, both original and translated. A number of the Press's titles have garnered academic awards, in fields ranging from history and archaeology to creative non-fiction to distance education; other titles have been recognized for their design.[2] AU Press also publishes websites with content that has scholarly parameters and standards, especially grey literature on distance learning; and primary sources in labour studies, Métis and Aboriginal Studies, gender studies, and the environment.[3]
"
Atheneum Books,"Atheneum Books was a New York City publishing house established in 1959 by Alfred A. Knopf, Jr., Simon Michael Bessie and Hiram Haydn. Simon & Schuster has owned Atheneum properties since its acquisition of Macmillan in 1994 and it created Atheneum Books for Young Readers as an imprint for children's books in the 2000s.
"
Simon & Schuster,"
"
The Making of the President 1960,"The Making of the President 1960, written by journalist Theodore H. White and published by Atheneum Publishers in 1961,[1] is a book that recounts and analyzes the 1960 election in which John F. Kennedy was elected President of the United States. The book won the 1962 Pulitzer Prize for General Non-Fiction[2]  and was the first in a series of books by White about American presidential elections. (The others are The Making of the President 1964 (1965), The Making of the President 1968 (1969), and
The Making of the President 1972 (1973).)
"
Atlantic Books,"
"
Atlas Press,"Atlas Press began publishing in 1983, and specialises in extremist and avant-garde prose writing from the 1890s to the present day. It is the largest publisher in English of books on Surrealism and has an extensive list relating to Dada, Surrealism, Expressionism, the Oulipo, the Collège de ‘Pataphysique, Vienna Actionists among others.
"
ATOM Books,"
"
Atria Publishing Group,"Atria Publishing Group is a general interest publisher and a division of Simon & Schuster. The publishing group launched as Atria Books in 2002. The Atria Publishing Group was later created internally at Simon & Schuster to house a number of imprints including Atria Books, Atria Trade Paperbacks, Atrai Books Espanol, Atria Unbound, Washington Square Press, Emily Bestler Books, Atria/Beyond Words, Cash Money Content, Howard Books, Marble Arch Press, Strebor Books, 37 Ink, Keywords Press and Enliven Books.[1] Atria is also known for creating innovative imprints and co-publishing deals with African-American writers as well as known for experimenting with digital or non-traditional print formats and authors.
"
"Little, Brown","
"
Aunt Lute Books,"Aunt Lute Books is a multicultural feminist press whose mission is to ""publish literature by women whose voices have been traditionally under-represented in mainstream and small press publishing"" and ""distribute literature that expresses the true complexity of women’s lives and the possibilities for personal and social change.""[1] The publisher has a stated aim to embrace the opportunity to work with and support first-time authors.[1]
"
Austin Macauley Publishers,"Austin Macauley Publishers Limited is a British publishing company, with offices in London, New York and Sharjah. The company was founded in 2006 and publishes fiction and non-fiction books. It publishes new and established authors.[1] The company publishes books in English and Arabic languages.[2]
"
Avery Publishing,"Avery Publishing is a book publishing imprint of the Penguin Group, founded as an independent publisher in 1976 by Rudy Shur and partners,[1][2] and purchased by Penguin in 1999.[3][4] The current president is veteran publisher William Shinker.[5] Their offices were located at one time in Garden City, New York, home to other publisher's offices.
"
Penguin Group,"
"
Avon Publications,"Avon Publications is one of the leading publishers of romance fiction. At Avon's initial stages, it was an American paperback book and comic book publisher. The shift in content occurred in the early 1970s with multiple Avon romance titles reaching and maintaining spots in bestseller lists, demonstrating the market and potential profits in romance publication. As of 2010, Avon is an imprint of HarperCollins.
"
HarperCollins,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
Baen Books,"
"
Baker Publishing Group,"Baker Publishing Group is a Christian book publisher based in Ada, Michigan. It has six subdivisions: Bethany House, Revell, Baker Books, Baker Academic, Chosen, and Brazos Press.
"
Ballantine Books,"Ballantine Books is a major book publisher located in the United States, founded in 1952 by Ian Ballantine with his wife, Betty Ballantine.[1] It was acquired by Random House in 1973, which in turn was acquired by Bertelsmann in 1998 and remains part of that company today. Ballantine's logo is a pair of mirrored letter Bs back to back.[2] The firm's early editors were Stanley Kauffmann and Bernard Shir-Cliff.[3]
"
Banner of Truth Trust,"
"
Bantam Books,"Bantam Books is an American publishing house owned entirely by parent company Random House, a subsidiary of Penguin Random House; it is an imprint of the Random House Publishing Group. It was formed in 1945 by Walter B. Pitkin, Jr., Sidney B. Kramer, and Ian and Betty Ballantine, with funding from Grosset & Dunlap and Curtis Publishing Company. It has since been purchased several times by companies including National General, Carl Lindner's American Financial and, most recently, Bertelsmann; it became part of Random House in 1998, when Bertelsmann purchased it to form Bantam Doubleday Dell.[1] It began as a mass market publisher, mostly of reprints of hardcover books, with some original paperbacks as well. It expanded into both trade paperback and hardcover books, including original works, often reprinted in house as mass-market editions.
"
Random House,"
"
Bantam Spectra,"
"
Bantam Books,"Bantam Books is an American publishing house owned entirely by parent company Random House, a subsidiary of Penguin Random House; it is an imprint of the Random House Publishing Group. It was formed in 1945 by Walter B. Pitkin, Jr., Sidney B. Kramer, and Ian and Betty Ballantine, with funding from Grosset & Dunlap and Curtis Publishing Company. It has since been purchased several times by companies including National General, Carl Lindner's American Financial and, most recently, Bertelsmann; it became part of Random House in 1998, when Bertelsmann purchased it to form Bantam Doubleday Dell.[1] It began as a mass market publisher, mostly of reprints of hardcover books, with some original paperbacks as well. It expanded into both trade paperback and hardcover books, including original works, often reprinted in house as mass-market editions.
"
Barrie & Jenkins,"Barrie & Jenkins was a small British publishing house that was formed in 1964 from the merger of the companies Herbert Jenkins (founded by English writer Herbert George Jenkins) and Barrie & Rockliff (whose managing director was Leopold Ullstein and whose editorial staff included John Bunting and John Pattison).[1] Barrie & Rockcliff was itself the result of the merger in the 1950s of James Barrie Books, founded in 1947 by James Barrie[2] whose great-uncle and godfather had been the playwright J. M. Barrie, and of the Rockliff Publishing Corporation, which was ""known for its theatre list"".[3]
"
Basic Books,"Basic Books is a book publisher founded in 1950 and located in New York, now an imprint of Hachette Book Group. It publishes books in the fields of psychology, philosophy, economics, science, politics, sociology, current affairs, and history.
"
BBC Books,"
"
Belknap Press,"
"
Bella Books,"Bella Books is a small press publisher of lesbian literature based in Tallahassee, Florida.
"
Bellevue Literary Press,"Bellevue Literary Press (BLP) is an American publisher. It was founded in 2007 as a sister organization of Bellevue Literary Review, located at Bellevue Hospital in New York City. It became an independent nonprofit in 2018.[1]
"
Bendon Publishing International,"Bendon is an American publisher of children's books.
"
Berg Publishers,"Berg Publishers was an academic publishing company based in Oxford, England and Providence, Rhode Island that was founded in 1983 by Marion Berghahn.[1] Berg published monographs, textbooks, and reference works as well as academic journals. Concentrations were fashion, design, anthropology, history, and cultural studies.[2] Shortly after Marion's husband, the historian Volker Berghahn accepted a chair at Brown University in 1988, operations in Providence began.[3]
"
Bloomsbury Publishing,"
"
Berkley Books,"
"
imprint,"An imprint of a publisher is a trade name under which it publishes a work. A single publishing company may have multiple imprints, often using the different names as brands to market works to various demographic consumer segments.[1]
"
Bison Books,"The University of Nebraska Press, also known as UNP, was founded in 1941 and is an academic publisher of scholarly and general-interest books. The press is under the auspices of the University of Nebraska–Lincoln, the main campus of the University of Nebraska system. UNP publishes primarily non-fiction books and academic journals, in both print and electronic editions. The press has particularly strong publishing programs in Native American studies, Western American history, sports, world and national affairs, and military history. The press has also been active in reprinting classic books from various genres, including science fiction and fantasy.
"
Black Dog Publishing,"Black Dog Publishing was a British publishing company specialising in illustrated non-fiction books on contemporary culture. Topics covered by Black Dog include architecture, art, craft, design, environment, fashion, film, music and photography. 
"
Black Ink Collective,"Black Ink Collective was a British publishing company founded in 1978 to publish the work of young Black writers in the UK. 
"
Black Library,"The Black Library is a division of Games Workshop (formerly a part of BL Publishing) which is devoted to publishing novels and audiobooks (and has previously produced art books, background books, and graphic novels) set in the Warhammer Fantasy Battle, Warhammer Age of Sigmar and Warhammer 40,000 fictional universes. Some of Black Library's best known titles include the Gaunt's Ghosts and Eisenhorn series of novels by Dan Abnett and the Gotrek and Felix series by William King and Nathan Long.
"
Black Sparrow Press,"Black Sparrow Press is a New England based independent book publisher, known for literary fiction and poetry.
"
Black & White Publishing,"
"
Blackie and Son,"
"
Blackstaff Press,"
"
Blackwell Publishing,"
"
Blake Publishing,"
"
Bloodaxe Books,"Bloodaxe Books is a British publishing house specializing in poetry.
"
Bloomsbury Publishing,"
"
Blue Ribbon Books,"Doubleday is an American publishing company. It was founded as the Doubleday & McClure Company in 1897 and was the largest in the United States by 1947. It published the work of mostly U.S. authors under a number of imprints and distributed them through its own stores. In 2009 Doubleday merged with Knopf Publishing Group to form the Knopf Doubleday Publishing Group, which is now part of Penguin Random House. In 2019, the official website presents Doubleday as an imprint, not a publisher.
"
Bobbs-Merrill Company,"The Bobbs-Merrill Company was a book publisher located in Indianapolis, Indiana.
"
Howard W. Sams Company,"Sams Publishing is dedicated to the publishing of technical training manuals and is an imprint of Pearson plc, the global publishing and education company.
"
Bogle-L'Ouverture Publications,"
"
Book League of America,"The Book League of America, Inc. was a US book publisher and mail order book sales club. It was established in 1930, a few years after the Book of the Month Club.[1] Its founder was Lawrence Lamm, previously an editor at Macmillan Inc..[1] The company was located at 100 Fifth Avenue, New York City, New York[2] in a 240,000-square-foot (22,000 m2) office building that was constructed in 1906.[3] It printed and  distributed a variety of volumes in the 1920s, 1930s, 1940s, and 1950s. A victim of the Great Depression,[1] the Book League of America was purchased by Doubleday in 1936.
"
Book Works,"Book Works is a London-based publisher of books on contemporary visual arts, and print studio specialising in bookbinding, letterpress printing, boxmaking, and printmaking. Established in 1984, it has ""the mission to disseminate visual art practice to as wide and diverse an audience as possible.""[1] It is a publicly funded organisation and a registered charity (registered number 1104148), its supporters including Arts Council England and The Henry Moore Foundation.[1]
"
Booktrope,"Booktrope (founded 2010, ceased operations 2016) was a Seattle-based hybrid publisher which specialized in community-based team publishing.[1] Applying a ""team publishing"" model, under which authors, editors, designers and marketing managers shared revenue, the company published approximately 1000 books in print and ebook formats. It ceased operations as of May 31, 2016.[2]
"
Borgo Press,"The Borgo Press was a small publishing company founded by Robert Reginald in 1975 funded by the royalties gained from his first major reference work,[citation needed] Stella Nova: the contemporary science fiction authors (1970).[1]
"
Wildside Press,"Wildside Press is an independent publishing company in Cabin John, Maryland, United States. It was founded in 1989 by John Betancourt and Kim Betancourt. While the press was originally conceived as a publisher of speculative fiction in both trade and limited editions, its focus has broadened since then, both in content and format.
"
Boundless,"Boundless was an American company, founded in 2011, which created free and low-cost textbooks and distributed them online. In April 2015, it was acquired by Valore.[1] The combined company is based in Boston, Massachusetts.
"
Bowes & Bowes,"Bowes & Bowes was a bookselling and publishing company based in Cambridge, England. It was established by Robert Bowes (1835–1919), a nephew of Daniel Macmillan (1813–1857) — the founder, with his brother Alexander, in 1843, of a firm which by 1850 was a thriving bookshop with the official name ‘Macmillan & Co.’[1] The same bookshop was eventually owned by Alexander Macmillan in partnership with Robert Bowes. The company became known as ‘Bowes & Bowes’ only in 1907, George Brimley Bowes (1874-1946, Robert Bowes’ son) having become  a partner in the business in 1899.[2]  The firm continued as a family business until 1953 when it was acquired by W H Smith, who continued to operate it under the original name until 1986. In that year the business’s name was changed to Sherratt & Hughes.
"
Boydell & Brewer,"
"
Broadside Lotus Press,"
"
Breslov Research Institute,"Breslov Research Institute is a publisher of classic and contemporary Breslov texts in English. Established in 1979, BRI has produced the first English translation of all the works of Rebbe Nachman of Breslov (1772–1810) and selected works of Reb Noson (1780–1844), the Rebbe's closest disciple; studies of the Rebbe's teachings on individual subjects; contemporary Breslov biographies; and self-help books which apply Rebbe Nachman's teachings to daily life.[1] BRI currently has over 100 titles in print,[1] many of which it has also translated into Hebrew, Spanish, Russian and French. BRI maintains offices in Jerusalem and New York City.
"
Brill Publishers,"
"
Brimstone Press,"Brimstone Press was an Australian independent publisher of dark fiction (horror and dark fantasy).[1] Brimstone Press was established in 2004 by Angela Challis and Shane Jiraiya Cummings and was based in Western Australia.
"
Broadview Press,"Broadview Press is an independent academic publisher that focuses on the humanities. Founded in 1985 by Don LePan, the company now employs over 30 people, has over 800 titles in print, and publishes approximately 40 titles each year. Broadview's offices are located across Canada in Calgary, Peterborough, Nanaimo, Guelph and Wolfville.[2]
"
Burns & Oates,"Burns & Oates was a British Roman Catholic publishing house which most recently existed as an imprint of Continuum. 
"
Continuum International Publishing Group,"
"
Butterworth-Heinemann,"
"
Elsevier,"
"
Caister Academic Press,"Caister Academic Press is an independent academic publishing company that produces books and ebooks on microbiology and molecular biology. The address for the editorial offices is in Poole, UK with worldwide sales and distribution through the Ingram Content Group. Published books include review volumes, practical manuals and reference texts aimed at the post-graduate, research and professional market.
"
Cambridge University Press,"
"
Canadian Science Publishing,"Canadian Science Publishing (CSP) is Canada's largest publisher of international scientific journals. It started in 1929 as the NRC Research Press, part of the National Research Council (NCR). In 2010, the organization spun off from NRC and was incorporated as a not-for-profit.  
"
Candlewick Press,"Candlewick Press, established in 1992 and located in Somerville, Massachusetts, is part of the Walker Books group. The logo depicting a bear carrying a candle is based on Walker Books's original logo. 
"
Canongate Books,"
"
Capstone Publishers,"Capstone is a publisher of children’s books and digital products. Capstone focuses on the educational market. They also sell to the trade market and internationally. Capstone publishes nonfiction, fiction, picture books, interactive books, audio books, literacy programs, and digital media. Imprints and divisions include Capstone Press, Compass Point Books, Picture Window Books, Stone Arch Books, Red Brick Learning, Capstone Digital, Heinemann-Raintree and Switch Press. Capstone acquired the assets of Heinemann-Raintree library reference from Pearson Education in 2008.[5] Heinemann-Raintree has offices in Chicago and Oxford, England. Capstone is based in Mankato, Minnesota, with additional offices in Minneapolis, Chicago, and Oxford. Capstone is part of Coughlan Companies, Inc.[6] Coughlan Companies also includes Jordan Sands, a limestone quarry, and fabrication facility.[7]
"
Carcanet Press,"Carcanet Press is a publisher, primarily of poetry, based in the United Kingdom and founded in 1969 by Michael Schmidt.
"
Carlton Publishing Group,"Welbeck Publishing Group, formerly Carlton Publishing Group, is a London-based independent book publisher of fiction, narrative and illustrated non-fiction, as well as gift and children's books. Established in 2019 by Executive Directors Mark Smith and Marcus Leaver,[3] the business specialises in commercial publishing in 30 languages and in more than 60 countries around the world, across all genres and categories.
"
Carnegie Mellon University Press,"Carnegie Mellon University Press is a publisher that is part of Carnegie Mellon University in Pittsburgh, Pennsylvania, United States.
"
Casemate Publishers,"Casemate Publishers, also known as Casemate, is a Philadelphia-based publishing company that specializes in producing printed military history books. They have published over 300 books on military history. Many of their books are memoirs and historical overviews of specific military events. They also distribute books for other publishing companies and market their products to enthusiasts, hobbyists, students, instructors, and researchers of military history, as well as members of the armed forces and military organizations.[3]
"
Cassava Republic Press,"
"
Cassell,"Orion Publishing Group Ltd. is a UK-based book publisher. It was founded in 1991 and acquired Weidenfeld & Nicolson the following year. The group has published numerous bestselling books by notable authors including Ian Rankin, Michael Connelly, Nemir Kirdar and Quentin Tarantino.  [1]
"
Cengage,"
"
Central European University Press,"
"
Century,"
"
Random House,"
"
Chambers,"
"
Charles Scribner's Sons,"
"
Chatto & Windus,"
"
Chick Publications,"
"
Chronicle Books,"Chronicle Books is a San Francisco-based American publisher of books for adults and children.
"
Churchill Livingstone,"Churchill Livingstone is an academic publisher. 
"
Elsevier,"
"
Cisco Press,"Cisco Press is a publishing alliance between Cisco Systems and Pearson, the world's largest education publishing and technology company which is part of Pearson PLC, the global publisher and co-owner (47%) of Penguin and formerly Financial Times.  Cisco Press distributes its titles through traditional resellers as well as through the Safari Books Online e-reference service. Cisco Press is the Cisco Systems authorized book publisher of Cisco networking technology, Cisco certification self-study, and Cisco Networking Academy Program materials. Leading authorities from Cisco Systems and other industry innovators write and contribute to the various titles and series that make up the Cisco Press product family. Products from Cisco Press are part of a recommended learning path from Cisco Systems that combines instructor-led training with hands-on instruction, e-learning, and self-study.
"
City Lights Publishers,"City Lights is an independent bookstore-publisher combination in San Francisco, California, that specializes in world literature, the arts, and progressive politics. It also houses the nonprofit City Lights Foundation, which publishes selected titles related to San Francisco culture. It was founded in 1953 by poet Lawrence Ferlinghetti and Peter D. Martin[2] (who left two years later). Both the store and the publishers became widely known following the obscenity trial of Ferlinghetti for publishing Allen Ginsberg's influential collection Howl and Other Poems (City Lights, 1956). Nancy Peters started working there in 1971 and retired as executive director in 2007. In 2001, City Lights was made an official historic landmark. City Lights is located at 261 Columbus Avenue. While formally located in Chinatown, it self-identifies as part of immediately adjacent North Beach.
"
Cloverdale Corporation,"Cloverdale Corporation has for 29 years been involved in publishing scholarly research for the scientific community. Under its publishing imprint, Wyndham Hall Press, the Cloverdale Corporation published the Rhodes-Fulbright International Library for twenty years and added some 600 scholarly titles in the social, behavioral, and physical sciences during that time.
"
Cold Spring Harbor Laboratory Press,"Cold Spring Harbor Laboratory Press was founded in 1933 to aid in Cold Spring Harbor Laboratory's purpose of furthering the advance and spread of scientific knowledge.
"
Collector's Guide Publishing,"Collector's Guide Publishing (CGP) is a Canadian publisher based in Burlington, Ontario, Canada. 
"
Collins,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
"
Columbia University Press,"Columbia University Press is a university press based in New York City, and affiliated with Columbia University. It is currently directed by Jennifer Crewe (2014–present) and publishes titles in the humanities and sciences, including the fields of literary and cultural studies, history, social work, sociology, religion, film, and international studies.
"
Concordia Publishing House,"
"
Constable & Co Ltd,"
"
Constable & Robinson,"
"
Continuum International Publishing Group,"
"
Copper Canyon Press,"Copper Canyon Press[1] is an independent, non-profit small press, specializing in the publication of poetry and located in Port Townsend, Washington. Since 1972, the Press has published poetry exclusively.
"
Cork University Press,"Cork University Press (CUP) is a publisher located in Cork, Ireland. It was founded in 1925 and is associated with University College Cork. The Press publishes under its own imprint and two others: Attic (which specializes in women's studies) and Atrium.[5]: p307 
"
Cornell University Press,"The Cornell University Press is a division of Cornell University housed in Sage House, the former residence of Henry William Sage. It was first established in 1869, making it the first university publishing enterprise in the United States, but was inactive from 1884 to 1930.[2][3]
"
Coronet Books,"Coronet Books was established in 1966 as the paperback imprint of Hodder & Stoughton. The imprint was closed in 2004 but then relaunched in 2010, publishing fiction and non-fiction in hardback and paperback, including works by Chris Ryan, Lorna Byrne, and Auberon Waugh.[1][2]
"
Hodder & Stoughton,"Hodder & Stoughton is a British publishing house, now an imprint of Hachette.
"
Counterpoint,"Counterpoint LLC was a publishing company distributed by Perseus Books Group launched in 2007. It was formed from the consolidation of three presses: Perseus' Counterpoint Press, Avalon Publishing Group's Shoemaker & Hoard and the independent Soft Skull Press. The company published books under the Counterpoint Press and Soft Skull Press imprints. Counterpoint also entered into an agreement for the production, marketing and distribution of approximately eight Sierra Club book titles each year. 
"
Craftsman Book Company,"Craftsman Book Company of America, Inc. is a  U.S. publisher with a comprehensive range of[1] technical references for construction professionals.[2]
"
CRC Press,"The CRC Press, LLC is an American publishing group that specializes in producing technical books. Many of their books relate to engineering, science and mathematics. Their scope also includes books on business, forensics and information technology. CRC Press is now a division of Taylor & Francis, itself a subsidiary of Informa.
"
