,name,image,origin,publication_types,founded,parent_comp,hq,website
257,Hogarth Press,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hogarth_Press_House%2C_Richmond%2C_Surrey.jpg/220px-Hogarth_Press_House%2C_Richmond%2C_Surrey.jpg,United Kingdom,Books,1917,Chatto & Windus,London,Official website
258,Holland Park Press,-1,United Kingdom,Books,2009; 12 years ago (2009),Unkown,"London, England",www.hollandparkpress.co.uk
259,Holt McDougal,https://upload.wikimedia.org/wikipedia/en/6/67/Holt%2C_Rinehart_%26_Winston_%28emblem%29.png,United States,"Textbooks, children's books",March 1960; 61 years ago (1960-03),Houghton Mifflin Harcourt,Unknown,www.hmcd.com
260,Hoover Institution Press,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Hoover_Institution_Logo.svg/250px-Hoover_Institution_Logo.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
261,Horizon Scientific Press,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Caister-academic-press.jpg/250px-Caister-academic-press.jpg,United Kingdom,Unknown,1993,Unkown,"Poole, UK",www.caister.com
262,Houghton Mifflin Harcourt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Houghton_MHarcourt_2012logo.png/220px-Houghton_MHarcourt_2012logo.png,United States,"Books, software",1832; 189 years ago (1832),Unkown,"Boston, Massachusetts",www.hmhco.com
263,House of Anansi Press,-1,Canada,Unknown,[1],Unkown,Toronto,www.houseofanansi.com
264,The House of Murky Depths,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Murky_Depths_Iissue17_cover.jpg/220px-Murky_Depths_Iissue17_cover.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
265,Howell-North Books,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Howell_North_Books_colophon.gif/100px-Howell_North_Books_colophon.gif,Unknown,books,Unknown,Unkown,"Berkeley, California",Not available
266,Humana Press,-1,United States,journals,1976,Unkown,"Totowa, New Jersey",www.springer.com/humana
267,Hutchinson,-1,United Kingdom,Books,1887; 134 years ago (1887),Penguin Random House,Unknown,www.penguin.co.uk/company/publishers/cornerstone/hutchinson.html
268,Ian Allan Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Shepperton%2C_Ian_Allan_Ltd_-_geograph.org.uk_-_1078155.jpg/250px-Shepperton%2C_Ian_Allan_Ltd_-_geograph.org.uk_-_1078155.jpg,United Kingdom,Books,1942,Unkown,Shepperton,www.ianallanpublishing.com
269,Ignatius Press,https://upload.wikimedia.org/wikipedia/commons/3/36/IgnatiusPress.png,United States,Unknown,1978,Guadalupe Associates,San Francisco,ignatius.com
270,Indiana University Press,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Iu_press_logo.png/150px-Iu_press_logo.png,United States,Books,1950,Indiana University,"Bloomington, Indiana",iupress.org
271,Informa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Informa_logo.svg/220px-Informa_logo.svg.png,Unknown,Unknown,December 1998,Unkown,Unknown,Not available
272,Information Age Publishing,-1,United States,Books,1999,Unkown,"Charlotte, North Carolina",www.infoagepub.com
273,International Association of Engineers,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/IAENG_logo.jpg/250px-IAENG_logo.jpg,Unknown,Unknown,1968; 53 years ago (1968),Unkown,Unknown,Not available
274,International Universities Press,-1,United States,Unknown,1944,Unkown,"Madison, CT",www.iup.com
275,Inter-Varsity Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Inter-Varsity_Press_Logo_from_2018.png/220px-Inter-Varsity_Press_Logo_from_2018.png,United Kingdom,Books,Unknown,Unkown,London,www.ivpbooks.com
276,InterVarsity Press,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/InterVarsity_Press_%28IVP%29_logo.pdf/page1-220px-InterVarsity_Press_%28IVP%29_logo.pdf.jpg,United States,Books,1947,InterVarsity Christian Fellowship,"Westmont, Illinois",www.ivpress.com
277,Islamic Texts Society,-1,United Kingdom,Books,1981,Unkown,Cambridge,www.its.org.uk
278,Island Press,-1,United States,Books,1984,Unkown,"Washington, D.C.",www.islandpress.org
279,Jaico Publishing House,-1,India,Unknown,1946,Unkown,Mumbai,www.jaicobooks.com
280,The Jarrold Group,-1,Unknown,Unknown,1770,Unkown,Unknown,Not available
281,The Jewish Publication Society,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Jps-logo.jpg/250px-Jps-logo.jpg,United States,Books,1888,Unkown,Philadelphia,jps.org
282,John Murray,https://upload.wikimedia.org/wikipedia/en/f/fa/John-Murray-logo.png,United Kingdom,Books,1768; 253 years ago (1768),Hachette UK,London,www.johnmurray.co.uk
283,Jones & Bartlett Learning,-1,United States,Books,[2],[1],"Burlington, Massachusetts",jblearning.com
284,Karadi Tales,https://upload.wikimedia.org/wikipedia/en/d/dc/KTC_Hi_res_logo_180x79.jpg,Unknown,Unknown,1996,Unkown,Unknown,Not available
285,Kensington Books,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Kensington-logo.png/220px-Kensington-logo.png,United States,Books,1974,Unkown,New York City,www.kensingtonbooks.com
286,Kessinger Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Kessinger_logo.png/220px-Kessinger_logo.png,United States,Unknown,1988,Unkown,"Whitefish, Montana",www.kessinger.net
287,Kluwer Academic Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com
288,Knockabout Comics,-1,United Kingdom,Comics,1975,Unkown,London,www.knockabout.com
289,Kodansha,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/K%C5%8Ddansha_logo.png/170px-K%C5%8Ddansha_logo.png,Unknown,Unknown,"December 1, 1938; 82 years ago (December 1, 1938)",Unkown,Unknown,Not available
290,Kogan Page,-1,United Kingdom,Books,1967,Unkown,London,koganpage.com
291,Koren Publishers Jerusalem,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/This_is_a_logo_for_Koren_Publishers_Jerusalem.jpg/120px-This_is_a_logo_for_Koren_Publishers_Jerusalem.jpg,Unknown,Unknown,1962,Unkown,Jerusalem,https://korenpub.com
292,Korero Press,-1,United Kingdom,Books,Unknown,Unkown,London,www.koreropress.com
293,KTAV Publishing House,https://upload.wikimedia.org/wikipedia/en/7/74/Ktav.gif,United States,Unknown,1921 (100 years ago) (1921),Unkown,"Brooklyn, New York",http://www.ktav.com
294,Kumarian Press,-1,United States,Books,1977,Lynne Rienner Publishers,"Boulder, Colorado",www.rienner.com
295,Ladybird Books,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Ladybird_Books_%282004%29.gif/220px-Ladybird_Books_%282004%29.gif,United Kingdom,Books,Loughborough,Penguin Random House,London,www.ladybird.co.uk
296,Last Gasp,https://upload.wikimedia.org/wikipedia/commons/3/35/Last_Gasp.gif,Unknown,Books,"Berkeley, California",Unkown,"San Francisco, California",www.lastgasp.com
297,Leafwood Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Leafwood_Publishers_Logo.png/300px-Leafwood_Publishers_Logo.png,Unknown,Books,2000,Abilene Christian University Press,"Abilene, Texas",/http://www.leafwoodpublishers.com/
298,Abilene Christian University Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/ACU_Press_Current_Logo.jpg/220px-ACU_Press_Current_Logo.jpg,Unknown,Books,1984,Abilene Christian University,"Abilene, Texas",www.acupressbooks.com
299,Left Book Club,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Left_Book_Club_logo.png/100px-Left_Book_Club_logo.png,United Kingdom,Books,1936,Unkown,London,Not available
300,Legend Books,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
301,Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
302,Lethe Press,-1,United States,Books,2001,Unkown,"Amherst, Massachusetts",lethepressbooks.com
303,Liberty Fund,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Liberty_Fund_logo_2020.svg/240px-Liberty_Fund_logo_2020.svg.png,Unknown,Unknown,1960; 61 years ago (1960),Unkown,Unknown,Not available
304,Library of America,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Library_of_America.JPG/250px-Library_of_America.JPG,United States,Books,1979,Unkown,New York City,www.loa.org
305,Lion Hudson,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com
306,Lion Publishing,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com
307,Lion Hudson,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com
308,Lippincott Williams & Wilkins,-1,United States,books,1998,Wolters Kluwer,Philadelphia,www.lww.com
309,Wolters Kluwer,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Wolters_Kluwer_logo.svg/220px-Wolters_Kluwer_logo.svg.png,Unknown,Unknown,1968; 53 years ago (1968),Unkown,Unknown,Not available
310,"Little, Brown and Company",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Little_Brown_Company_logo.svg/220px-Little_Brown_Company_logo.svg.png,United States/United Kingdom,Unknown,1837; 184 years ago (1837),Hachette Book Group USA,New York City,littlebrown.com
311,Liverpool University Press,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Liverpool-University-Press.png/220px-Liverpool-University-Press.png,United Kingdom,Books,1899,University of Liverpool,Liverpool,www.liverpooluniversitypress.co.uk
312,Llewellyn Worldwide,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Llevellyn-logo.PNG/220px-Llevellyn-logo.PNG,United States,Books,1901,Unkown,"Woodbury, Minnesota",www.llewellyn.com
313,Longman,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Pearson_Longman_logo.png/220px-Pearson_Longman_logo.png,England,Reference works,1724; 297 years ago (1724),Pearson Education,Harlow,www.pearsonelt.com
314,LPI Media,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/LPIlogo.png/200px-LPIlogo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
315,The Lutterworth Press,-1,United Kingdom,Books,1932,Unkown,"Cambridge, England",www.lutterworth.com
316,Macmillan Publishers,https://upload.wikimedia.org/wikipedia/en/e/e8/Macmillan_Publishers_Logo_2020.png,United Kingdom,academic journals,1843; 178 years ago (1843),Holtzbrinck Publishing Group,Equitable Building,macmillan.com
317,Mainstream Publishing,-1,"Scotland, UK",Books,1978,Random House,Edinburgh,Not available
318,Manchester University Press,-1,Unknown,"Books, academic journals",1904,University of Manchester,"Manchester, England",https://manchesteruniversitypress.co.uk/
319,Mandrake of Oxford,-1,United Kingdom,Books,1986; 35 years ago (1986)(as Golden Dawn Publications),Unkown,Oxford,www.mandrake.uk.net
320,Mandrake Press,-1,United Kingdom,Books,1929; 92 years ago (1929)(as Mandrake Press Ltd),Unkown,London,www.mandrake-press.co.uk
321,Manning Publications,-1,United States,Books,1990,Unkown,"Shelter Island, New York",Manning Publications
322,Manor House Publishing,-1,Canada,Books,1998; 23 years ago (1998),Unkown,Ancaster,manor-house.biz
323,Marion Boyars Publishers,-1,United Kingdom,Books,1975,Unkown,London,www.marionboyars.co.uk
324,Mark Batty Publisher,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Mark_Batty_Publisher_logo.gif/180px-Mark_Batty_Publisher_logo.gif,United States,Books,2003; 18 years ago (2003),Unkown,Brooklyn,Not available
325,Marshall Cavendish,https://upload.wikimedia.org/wikipedia/en/e/ee/Marshall_cavendish_logo.gif,Singapore,Unknown,1968; 53 years ago (1968),Times Publishing Group,Hougang,www.marshallcavendish.com
326,Marshall Pickering,-1,United Kingdom,Books,1981,Unkown,Unknown,Not available
327,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
328,Martinus Nijhoff Publishers,https://upload.wikimedia.org/wikipedia/en/5/57/MNP_logo.png,Belgium,"Books, Journals, E-books and Online platforms",1853,Brill Publishers,Leiden,www.brill.com/brill-nijhoff
329,Brill Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Brill_Publishers_logo.svg/180px-Brill_Publishers_logo.svg.png,Netherlands,Books,1683; 338 years ago (1683),Unkown,Leiden,brill.com
330,Matthias Media,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Matthias_Media_logo.png/300px-Matthias_Media_logo.png,Australia,"Magazines, books, tracts, audiobooks",Unknown,Unkown,Sydney,www.matthiasmedia.com.au
331,McClelland & Stewart,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/McClelland_%26_Stewart_Logo.png/200px-McClelland_%26_Stewart_Logo.png,Canada,Books,1906; 115 years ago (1906),Penguin Random House,Toronto,www.mcclelland.com
332,McFarland & Company,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/McFarland_%26_Company_logo.JPG/220px-McFarland_%26_Company_logo.JPG,United States,"academic and adult nonfiction, monographs, reference material, scholarly journals",1979,Unkown,"Jefferson, North Carolina",mcfarlandbooks.com
333,McGraw-Hill Education,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/McGraw-Hill_Education_wordmark.svg/220px-McGraw-Hill_Education_wordmark.svg.png,United States,Adaptive learning,1888,Unkown,New York City,www.mheducation.com
334,Medknow Publications,-1,India,Academic journals,1997,Wolters Kluwer,Mumbai,www.medknow.com
335,Melbourne University Publishing,-1,Australia,Books,1922; 99 years ago (1922),University of Melbourne,Melbourne,www.mup.com.au
336,Mercier Press,-1,Ireland,Unknown,1944,Unkown,Cork,www.mercierpress.ie
337,Methuen Publishing,-1,United Kingdom,books,1889; 132 years ago (1889),Unkown,North Yorkshire,www.methuen.co.uk
338,Michael O'Mara Books,-1,United Kingdom,Books,1985,Unkown,London,www.mombooks.com
339,Michigan State University Press,-1,United States,Academic journals,1947,Michigan State University,"East Lansing, Michigan",www.msupress.org
340,Microsoft Press,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Microsoft_press.png/220px-Microsoft_press.png,United States,Books,Unknown,Microsoft,Unknown,microsoftpressstore.com
341,Microsoft,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Microsoft_logo_%282012%29.svg/250px-Microsoft_logo_%282012%29.svg.png,Unknown,Unknown,"Albuquerque, New Mexico",Unkown,Unknown,Not available
342,The Miegunyah Press,-1,Australia,Books,1922; 99 years ago (1922),University of Melbourne,Melbourne,www.mup.com.au
343,Miles Kelly Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Miles_Kelly_Logo.png/220px-Miles_Kelly_Logo.png,United Kingdom,Books,1996 (1996),Unkown,Bardfield End Green,www.mileskelly.net
344,Mills & Boon,-1,United Kingdom,Books,1908 (1908),Harlequin Enterprises,"London Bridge, London",www.millsandboon.co.uk
345,Minerva Press,-1,United Kingdom,Books,Unknown,Unkown,London,Not available
346,MIT Press,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/MIT_Press_logo_%28black%29.svg/150px-MIT_Press_logo_%28black%29.svg.png,United States,Books,1962; 59 years ago (1962),Massachusetts Institute of Technology,"Cambridge, Massachusetts",mitpress.mit.edu
347,Mkuki na Nyota,-1,United Republic of Tanzania,Books,1991,Unkown,"24 Samora Ave, Dar es Salaam, Tanzania",www.mkukinanyota.com
348,Modern Library,https://upload.wikimedia.org/wikipedia/en/8/89/Modern_Library_logo.png,United States,Books,1917,Random House,New York City,modernlibrary.com
349,Morgan James Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Morgan_James_Publishing_logo.jpg/150px-Morgan_James_Publishing_logo.jpg,United States,Books,"2003 (2003) in Virginia, United States","Morgan James, LLC",New York City,morgan-james-publishing.com
350,Mother Tongue Publishing,-1,Canada,Books,1995,Unkown,Unknown,mothertonguepublishing.com
351,Arkham House,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Arkham_House_%28logo%29.png/100px-Arkham_House_%28logo%29.png,Unknown,Books,1939 (1939),Unkown,"Sauk City, Wisconsin",www.arkhamhouse.com
352,Myriad Editions,-1,United Kingdom,Books,1993; 28 years ago (1993),New Internationalist,Oxford,myriadeditions.com
353,Naiad Press,https://upload.wikimedia.org/wikipedia/en/9/99/Naiad_Press_logo.jpg,United States,Books,1973,Unkown,"Tallahassee, Florida",www.naiadpress.com
354,Nauka,-1,USSR,"books, scientific journals",April 14 1923; 98 years ago (April 14 1923),Unkown,Moscow,www.naukaran.com
355,NavPress,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nav_Primary_Horizontal.jpg/300px-Nav_Primary_Horizontal.jpg,Unknown,Unknown,"April, 1933",Unkown,Unknown,Not available
356,New American Library,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_American_Library_-_logo.png/180px-New_American_Library_-_logo.png,United States,Unknown,1948,Berkley Books,New York City,www.penguin.com
357,New Beacon Books,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/New_Beacon_Books_Logo.jpg/250px-New_Beacon_Books_Logo.jpg,UK,Unknown,1966; 55 years ago (1966),Unkown,Stroud Green Road,https://www.newbeaconbooks.com/
358,New Directions Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/80_8th_Avenue_from_the_Port_Authority_building.gk.jpg/200px-80_8th_Avenue_from_the_Port_Authority_building.gk.jpg,United States,Books,1936,Unkown,New York City,ndbooks.com
359,New English Library,-1,Unknown,Unknown,1961; 60 years ago (1961),Unkown,Unknown,Not available
360,New Holland Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/New_Holland_Publishers.jpg/180px-New_Holland_Publishers.jpg,"United Kingdom, Australia & New Zealand",Books,1955 (1955),Unkown,Westminster Bridge Road,newhollandpublishers.com
361,New Village Press,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/New_Village_Press.jpg/220px-New_Village_Press.jpg,United States,Books,2005,Unkown,"New York, New York",newvillagepress.org
362,New York Review Books,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/New_York_Review_Books_logo.png/250px-New_York_Review_Books_logo.png,United States,Books,1999,The New York Review of Books,New York City,www.nyrb.com
363,New Win Publishing,-1,United States,Books,1974,Academic Learning Company,"El Monte, California",newwinpublishing.com
364,Newnes,-1,England,periodicals,1891,Odhams Press,Southampton Street,Not available
365,No Starch Press,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Nostarch_logo.png/220px-Nostarch_logo.png,United States,Books,1994 (1994),Unkown,San Francisco,www.nostarch.com
366,Northwestern University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/PressBuildingS.jpg/220px-PressBuildingS.jpg,United States,Books,1893,Northwestern University,"Evanston, Illinois",nupress.northwestern.edu
367,Nosy Crow,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Nosy_Crow_logo.jpg/75px-Nosy_Crow_logo.jpg,United Kingdom,Children's Books,2010,Unkown,London,www.nosycrow.com
368,Oberon Books,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Oberon_logo_clipped.jpg/220px-Oberon_logo_clipped.jpg,United Kingdom,Books,1985,Unkown,Islington,oberonbooks.com
369,Open Book Publishers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/OBP_logo.JPG/350px-OBP_logo.JPG,United Kingdom,Books,2008 (2008),Unkown,Cambridge,www.openbookpublishers.com
370,Open Court Publishing Company,-1,United States,Books,1887,Carus Publishing Company,Chicago,www.opencourtbooks.com
371,Open University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/McGraw-Hill_Education_wordmark.svg/220px-McGraw-Hill_Education_wordmark.svg.png,United States,Adaptive learning,1888,Unkown,New York City,www.mheducation.com
372,OR Books,https://upload.wikimedia.org/wikipedia/commons/d/df/OR_Books_logo_%28transparent%29.png,United States,Books,2009,Unkown,"New York City, New York",www.orbooks.com
373,Orchard Books,https://upload.wikimedia.org/wikipedia/en/4/45/Groiler_Logo.gif,United States,Books,1909,Scholastic,Danbury,go.scholastic.com
374,O'Reilly Media,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/O%27Reilly_Logo_%282019%29.svg/220px-O%27Reilly_Logo_%282019%29.svg.png,United States,books,1978; 43 years ago (1978),Unkown,"Sebastopol, California",www.oreilly.com
375,Orion Books,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OrionLogo.png/220px-OrionLogo.png,United Kingdom,Books,1991; 30 years ago (1991),Hachette Livre,London,www.orionbooks.co.uk
376,Orion Publishing Group,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/OrionLogo.png/220px-OrionLogo.png,United Kingdom,Books,1991; 30 years ago (1991),Hachette Livre,London,www.orionbooks.co.uk
377,Osprey Publishing,-1,United Kingdom,Books,[1],Bloomsbury Publishing,Oxford,www.ospreypublishing.com
378,Other Press,-1,United States,Books,1998,Unkown,New York City,www.otherpress.com
379,The Overlook Press,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Logo_the_overlook_press.jpg/220px-Logo_the_overlook_press.jpg,United States,Books,1971 (50 years ago) (1971),Abrams Books,"New York, New York",overlookpress.com
380,Oxford University Press,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Oxford_University_Press_logo.svg/220px-Oxford_University_Press_logo.svg.png,United Kingdom,journals,1586; 435 years ago (1586),University of Oxford,Oxford,global.oup.com
381,Packt,https://upload.wikimedia.org/wikipedia/commons/b/bc/Packt_Logo.png,United Kingdom,Books,2003,Unkown,Birmingham,www.packtpub.com
382,Palgrave Macmillan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Palgrave_Macmillan_Logo.svg/220px-Palgrave_Macmillan_Logo.svg.png,United Kingdom,Books,2000,Springer Nature,London,www.palgrave.com
383,Pan Books,-1,United Kingdom,Books,1944,Macmillan Publishers,Clerkenwell,www.panmacmillan.com
384,Pan Macmillan,-1,United Kingdom,Books,1944,Macmillan Publishers,Clerkenwell,www.panmacmillan.com
385,Pantheon Books,https://upload.wikimedia.org/wikipedia/en/d/de/Pantheon_logo.jpg,United States,Books,1942; 79 years ago (1942),Random House,New York City,pantheon.knopfdoubleday.com
386,Papadakis Publisher,https://upload.wikimedia.org/wikipedia/commons/f/fb/Papadakis-logo.jpg,United Kingdom,Books,1997,Unkown,"Winterbourne, Berkshire",www.papadakis.net
387,Parachute Publishing,-1,Unknown,Unknown,1983,Unkown,Unknown,Not available
388,Parragon,-1,United Kingdom,Books,1988,Cottage Door Press,Bath,www.parragon.com
389,Paulist Press,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Paulist-logo-wordmark.png/220px-Paulist-logo-wordmark.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
390,Pavilion Books,-1,Unknown,Books,2005,Unkown,London,www.pavilionbooks.com
391,Pen and Sword Books,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Penandsword.gif/260px-Penandsword.gif,United Kingdom,"Books, magazines",1990; 31 years ago (1990),Barnsley Chronicle,Barnsley,www.Pen-and-Sword.co.uk
392,Penguin Books,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Penguin_logo.svg/120px-Penguin_logo.svg.png,United Kingdom,Books,1935; 86 years ago (1935),Penguin Random House,City of Westminster,www.penguin.com
393,Penguin Random House,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Penguin_Random_House.svg/220px-Penguin_Random_House.svg.png,Unknown,Unknown,2013; 8 years ago (2013),Unkown,Unknown,Not available
394,Penn State University Press,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Penn_State_University_Press_logo_%282016-present%29.png/220px-Penn_State_University_Press_logo_%282016-present%29.png,United States,Books,1956,Unkown,"University Park, Pennsylvania",www.psupress.org
395,Persephone Books,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Persephone_Books_logo.jpg/350px-Persephone_Books_logo.jpg,United Kingdom,Largely-neglected fiction and non-fiction by women writers,1999,Unkown,Bath,www.persephonebooks.co.uk
396,Perseus Books Group,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Perseus_Books_Group_Logo.png/220px-Perseus_Books_Group_Logo.png,United States,Unknown,1996; 25 years ago (1996),Lagardère SCA,New York City,www.perseusbooks.com
397,Peter Lang,https://upload.wikimedia.org/wikipedia/en/d/d0/PeterLang_Logo_EN_blue.png,Switzerland,Books,Frankfurt am Main,Unkown,Pieterlen,www.peterlang.com
398,Peter Owen Publishers,-1,United Kingdom,Books,1951,Unkown,London,www.peterowen.com
399,Phaidon Press,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Phaidon_Press_logo.jpg/220px-Phaidon_Press_logo.jpg,Austria,Unknown,1923,Unkown,London,www.phaidon.com
400,Philosophy Documentation Center,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Philosophy_Documentation_Center_%28logo%29.jpg/220px-Philosophy_Documentation_Center_%28logo%29.jpg,Unknown,Unknown,Bowling Green State University,Unkown,Unknown,Not available
401,Philtrum Press,-1,United States,Books,Unknown,Unkown,"Bangor, Maine",Not available
402,Picador,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Picador_logo.jpg/220px-Picador_logo.jpg,United Kingdom,Books,1972; 49 years ago (1972),Macmillan Publishers,London,www.picador.com
403,Pimlico Books at Random House,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available
404,Playwrights Canada Press,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Playwrights_Canada_Press_logo.png/300px-Playwrights_Canada_Press_logo.png,Canada,Plays,1984; 37 years ago (1984),Unkown,Toronto,www.playwrightscanada.com
405,Pluto Press,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Pluto_Press_logo.png/220px-Pluto_Press_logo.png,United Kingdom,Books,1969; 52 years ago (1969),Unkown,N6,www.plutobooks.com
406,Point Blank,-1,Unknown,Unknown,2004; 17 years ago (2004),Unkown,Unknown,Not available
407,Wildside Press,-1,United States,Audiobooks,1989,Unkown,"Rockville, Maryland",www.wildsidepress.com
408,Poisoned Pen Press,-1,United States,Books,1997,Sourcebooks,"Scottsdale, Arizona",www.poisonedpenpress.com
409,Policy Press,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Logo_of_publishers_Policy_Press.png/220px-Logo_of_publishers_Policy_Press.png,United Kingdom,"Books, Journals",1996,Bristol University Press,"Bristol, England",policypress.co.uk
410,Polity,https://upload.wikimedia.org/wikipedia/en/5/52/Polity-logo.png,United Kingdom,Books,1984,Unkown,Cambridge,politybooks.com
411,Practical Action,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Practcal_Action_Logo_RGB_400px.png/220px-Practcal_Action_Logo_RGB_400px.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
412,Prentice Hall,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Prentice_Hall_%28logo%29.jpg/250px-Prentice_Hall_%28logo%29.jpg,United States,Books,1913,Savvas Learning Company,"Hoboken, New Jersey",savvas.com
