,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
487,Society for Promoting Christian Knowledge,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/SPCK_Logo_from_2018_Onwards.png/200px-SPCK_Logo_from_2018_Onwards.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,487
488,Tupelo Press,-1,United States,Books,1999,Unkown,"North Adams, Massachusetts",www.tupelopress.org,,,488
489,Tuttle Publishing,-1,United States of America,Books,1948,Periplus Publishing Group,"North Clarendon, Vermont",tuttlepublishing.com,,,489
490,Two Dollar Radio,-1,United States,Unknown,2005,Unkown,"Columbus, Ohio",www.twodollarradio.com,,,490
491,United States Government Publishing Office,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Seal_of_the_United_States_Government_Printing_Office.svg/100px-Seal_of_the_United_States_Government_Printing_Office.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,491
492,Universal Publishers (United States),https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Universal-Publishers-BrownWalkerPress-DissertationCom-Logos2015a.jpg/220px-Universal-Publishers-BrownWalkerPress-DissertationCom-Logos2015a.jpg,United States,Books,1999,Unkown,"Irvine, California",www.universal-publishers.com,,,492
493,University of Akron Press,-1,United States,Books,1988,University of Akron,"Akron, Ohio",www.uakron.edu/uapress/,,,493
494,University of Alabama Press,-1,United States,"Books, Journals",1945; 76 years ago (1945),University of Alabama,"Tuscaloosa, Alabama",www.uapress.ua.edu,,,494
495,University of Alaska Press,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/University_of_Alaska_Press.jpg/220px-University_of_Alaska_Press.jpg,United States,Books,1967,University of Alaska,"College, Alaska",www.alaska.edu/uapress/,,,495
496,University of British Columbia Press,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/UBC_Press_logo.png/220px-UBC_Press_logo.png,Canada,Books,1971,University of British Columbia,Vancouver,www.ubcpress.ca,,,496
497,University of California Press,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/UCPRESS_LOGO.png/220px-UCPRESS_LOGO.png,United States,Books,1893,University of California,"Berkeley, California",www.ucpress.edu,,,497
498,University of Chicago Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/University_of_Chicago_Press_logo.jpg/220px-University_of_Chicago_Press_logo.jpg,United States,Books,[1],University of Chicago,Chicago,press.uchicago.edu,117,"418,423,424,425,429,430",498
499,University of Michigan Press,https://upload.wikimedia.org/wikipedia/en/8/88/UMPress-logo.png,United States,"Books, digital media",[1],University of Michigan,"Ann Arbor, Michigan",press.umich.edu,,,499
500,University of Minnesota Press,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/University_of_Minnesota_Press_logo.svg/50px-University_of_Minnesota_Press_logo.svg.png,United States,Books,1925,Unkown,Minneapolis,www.upress.umn.edu,,,500
501,University of Nebraska Press,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Nebraska-logo.jpg/220px-Nebraska-logo.jpg,United States,Books,1941,University of Nebraska–Lincoln,"Lincoln, Nebraska",www.nebraskapress.unl.edu,,,501
502,University of Pennsylvania Press,https://upload.wikimedia.org/wikipedia/en/b/b7/Penn_press.jpg,United States,"Books, magazine, journals","March 26, 1890",University of Pennsylvania,Philadelphia,Official website,,,502
503,University of Queensland Press,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/UQP_logo_gif_medium.gif/220px-UQP_logo_gif_medium.gif,Australia,Books,1948,University of Queensland,Brisbane,www.uqp.com.au,,,503
504,University of South Carolina Press,-1,United States,Books,1944,University of South Carolina,"Columbia, South Carolina",uscpress.com,,,504
505,University of Toronto Press,-1,Canada,Scholarly books and journals,1901,University of Toronto,Toronto,Official website,,,505
506,University of Wales Press,-1,United Kingdom,Journals,1922,University of Wales Trinity Saint David,Cardiff,www.uwp.co.uk,,,506
507,The University Press Limited,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Logo_of_University_Press_Limited.png/220px-Logo_of_University_Press_Limited.png,Bangladesh,journals,1975; 46 years ago (1975),Unkown,Farmgate,www.uplbooks.com,,,507
508,University Press of America,-1,United States,Books,1975,Rowman & Littlefield,Lanham,www.univpress.com,,,508
509,University Press of Kansas,-1,United States,Books,1946,Kansas Board of Regents,"Lawrence, Kansas",kansaspress.ku.edu,,,509
510,University Press of Kentucky,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/UPK_HorizontalLogo.png/220px-UPK_HorizontalLogo.png,United States,Unknown,1949,University of Kentucky Office of the Provost,"Lexington, Kentucky",www.kentuckypress.com,,,510
511,Usborne Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Usborne_Books_logo.svg/220px-Usborne_Books_logo.svg.png,United Kingdom,Unknown,5 December 1973; 47 years ago (1973-12-05),Unkown,London,usborne.com,,,511
512,Valancourt Books,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Valancourt_Books_Corporate_Logo_2014.png/220px-Valancourt_Books_Corporate_Logo_2014.png,United States,Novels,2005,Unkown,"Richmond, Virginia",valancourtbooks.com,,,512
513,Verso Books,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Verso_Books_logo.svg/220px-Verso_Books_logo.svg.png,Unknown,Books,1970; 51 years ago (1970) (as New Left Books),New Left Review,Meard Street,www.versobooks.com,,,513
514,Victor Gollancz Ltd,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Victor-gollancz-logo.png/100px-Victor-gollancz-logo.png,United Kingdom,Books,1927; 94 years ago (1927),Orion Publishing Group,London,www.gollancz.co.uk,,,514
515,Viking Press,https://upload.wikimedia.org/wikipedia/en/9/9a/Viking_Press_logo.png,United States,Unknown,1925; 96 years ago (1925),Penguin Random House,New York City,Viking Books,,,515
516,Vintage Books,https://upload.wikimedia.org/wikipedia/en/a/ae/Vintage_Books_logo.png,"United States, United Kingdom",Unknown,1954; 67 years ago (1954),Random House,New York City,knopfdoubleday.com/imprint/vintage/,"15,27","51,109",516
517,Virago Press,-1,United Kingdom,Unknown,1973; 48 years ago (1973),Hachette Livre,Unknown,http://www.virago.co.uk/,,,517
518,Virgin Books,https://upload.wikimedia.org/wikipedia/en/4/4f/Virgin_Books.png,United Kingdom,Books,[1],Unkown,London,www.penguin.co.uk/company/publishers/ebury/virgin-books.html,,,518
519,Voyager Books,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,,,519
520,HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,"83,110","263,273,275,277,377",520
521,W. H. Allen & Co.,-1,United Kingdom,Books,1835 (1835),Unkown,London,Not available,,,521
522,W. W. Norton & Company,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Norton_Company_logo.svg/220px-Norton_Company_logo.svg.png,United States,Books,1923; 98 years ago (1923),Unkown,New York City,wwnorton.com,,,522
523,Walter de Gruyter,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Verlag_Walter_de_Gruyter_Logo.svg/220px-Verlag_Walter_de_Gruyter_Logo.svg.png,Germany,Unknown,1749; 272 years ago (1749),Unkown,Berlin,www.degruyter.com,,,523
524,Ward Lock & Co,-1,United Kingdom,"Books, magazines",1854; 167 years ago (1854),Unkown,London,Not available,,,524
525,WBusiness Books,-1,United States,Books,1974,Academic Learning Company,"El Monte, California",newwinpublishing.com,,,525
526,Weidenfeld & Nicolson,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Wn-logo-2014.jpg/220px-Wn-logo-2014.jpg,United Kingdom,Books,[1],Orion Publishing Group,London,orionbooks.co.uk,,,526
527,Wesleyan University Press,-1,United States,Books,1957,Wesleyan University,"Middletown, Connecticut",wesleyan.edu/wespress,,,527
528,WestBow Press,https://upload.wikimedia.org/wikipedia/en/1/15/Thomas_Nelson_logo.jpg,Scotland,"Bibles, books, curriculum, digital content",17981854 (US),HarperCollins,"Nashville, Tennessee",www.thomasnelson.com,,,528
529,Thomas Nelson,https://upload.wikimedia.org/wikipedia/en/1/15/Thomas_Nelson_logo.jpg,Scotland,"Bibles, books, curriculum, digital content",17981854 (US),HarperCollins,"Nashville, Tennessee",www.thomasnelson.com,,,529
530,Westminster John Knox Press,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Westminster_John_Knox_logo.jpg/200px-Westminster_John_Knox_logo.jpg,United States,Books,Unknown,Presbyterian Publishing Corporation,"Louisville, Kentucky",www.wjkbooks.com,,,530
531,Wildside Press,-1,United States,Audiobooks,1989,Unkown,"Rockville, Maryland",www.wildsidepress.com,,,531
532,Wiley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Wiley_logo.svg/220px-Wiley_logo.svg.png,United States,Unknown,New York City,Unkown,"Hoboken, New Jersey",www.wiley.com,,,532
533,William B. Eerdmans Publishing Company,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Eerdmans-logo.png/200px-Eerdmans-logo.png,United States,Books,1911,Unkown,"Grand Rapids, Michigan",www.eerdmans.com,,,533
534,Windgate Press,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,534
535,Wipf and Stock,-1,United States,books,1995,Unkown,"Eugene, Oregon",wipfandstock.com,,,535
536,Wisdom Publications,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/FPMT.png/180px-FPMT.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,536
537,Witherby Publishing Group,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Witherby_Publishing_Group_Logo.png/220px-Witherby_Publishing_Group_Logo.png,United Kingdom,Unknown,1740,Unkown,"Livingston, West Lothian",www.witherbypublishinggroup.com,,,537
538,Woodhead Publishing,-1,Unknown,Books,1989,Elsevier,Sawston,www.elsevier.com/books-and-journals/woodhead-publishing,,,538
539,Wordfarm,-1,United States,Books,2003,Unkown,Seattle,www.wordfarm.net,,,539
540,Workman Publishing Company,https://upload.wikimedia.org/wikipedia/en/9/93/Workmen.jpg,United States,Books,1968,Unkown,New York City,workman.com,,,540
541,World Publishing Company,-1,United States,Books,1902; 119 years ago (1902),Times Mirror Company,Cleveland,Not available,,,541
542,World Scientific,https://upload.wikimedia.org/wikipedia/en/c/c1/WSPC-LOGO.jpg,Singapore,Books,1981; 40 years ago (1981),Unkown,Unknown,www.worldscientific.com,,,542
543,Wiley,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Wiley_logo.svg/220px-Wiley_logo.svg.png,United States,Unknown,New York City,Unkown,"Hoboken, New Jersey",www.wiley.com,,,543
544,WSOY,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Sanoma_logo_2013.png/220px-Sanoma_logo_2013.png,Unknown,Unknown,1999,Unkown,Unknown,Not available,,,544
545,Xoanon Publishing,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,545
546,Yale University Press,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Yale_press_logo.png/100px-Yale_press_logo.png,United States,Unknown,1908,Yale University,"New Haven, Connecticut",yalebooks.yale.edu,112,399,546
547,Zed Books,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/ZED_Books_New_Logo.png/220px-ZED_Books_New_Logo.png,United Kingdom,Books,1976; 45 years ago (1976),Unkown,London,www.zedbooks.net,,,547
548,Ziff Davis,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Ziff_Davis_Logo.png/220px-Ziff_Davis_Logo.png,Unknown,Unknown,"Chicago, Illinois",Unkown,Unknown,Not available,,,548
549,Zondervan,https://upload.wikimedia.org/wikipedia/en/7/75/ZondervanLogo.png,United States,Books,1931,HarperCollins,"Grand Rapids, Michigan",zondervan.com,,,549
