name,bio
Noel Alumit,"Noël Alumit (born January 8, 1968) is an American novelist, actor, and activist.[1] He was identified as one of the Top 100 Influential Gay People by Out Magazine in 2002.[2]
"
Gordon Stewart Anderson,"Gordon Stewart Anderson (1958 – July 8, 1991) was a Canadian writer, whose novel The Toronto You Are Leaving was published by his mother 15 years after his death.[1]
"
Debra Anderson,"
"
Patrick Anderson,"
"
Albalucía Angel,"Albalucía Ángel Marulanda (born in Pereira, Colombia, 27 September 1939) is a Colombian writer, folksinger, and novelist of the Latin American Boom. She is known as a pioneer of Latin American postmodernism for her novels.
"
Núria Añó,"
"
Trey Anthony,"Trey Anthony (born 1983) is a British-born Canadian playwright, actor, and producer, best known for her award-winning play and television series Da Kink in My Hair.[1] As a producer, she worked for the Women's Television Network and the Urban Women's Comedy Festival.[2] She founded Trey Anthony Studios, a television and theater production company dedicated to producing new works of theater.[3]
"
Salvatore Antonio,"
"
Gloria Anzaldúa,"Gloria Evangelina Anzaldúa (September 26, 1942 – May 15, 2004) was an American scholar of Chicana cultural theory, feminist theory, and queer theory. She loosely based her best-known book, Borderlands/La Frontera: The New Mestiza, on her life growing up on the Mexico–Texas border and incorporated her lifelong experiences of social and cultural marginalization into her work. She also developed theories about the marginal, in-between, and mixed cultures that develop along borders, including on the concepts of Nepantla, Coyoxaulqui imperative, new tribalism, and spiritual activism.[1][2]
"
Bert Archer,"Bert Archer is a Canadian author, journalist, travel writer, essayist and critic.
"
Reinaldo Arenas,"Reinaldo Arenas (July 16, 1943 – December 7, 1990) was a  Cuban poet, novelist, and playwright known as an early sympathizer, and later critic, of Fidel Castro and the Cuban Revolution, and a rebel of the Cuban government.
"
Rafael Arévalo Martínez,"
Rafael Arévalo Martínez (25 July 1884, Guatemala City –12 June 1975, Guatemala City) was a Guatemalan writer.  He was a novelist, short-story writer, poet, diplomat, and director of Guatemala’s national library for more than 20 years. Though Arévalo Martínez’s fame has waned, he is still considered important because of his short stories, and one in particular: The man who resembled a horse[1] and the biography of president Manuel Estrada Cabrera, ¡Ecce Pericles!.[2] Arévalo Martínez was director of the Guatemalan National Library from 1926 until 1946, when he became for a year Guatemala’s representative before the Pan American Union in Washington, D.C. He was the political and literary counterpart of his more famous countryman, Nobel Prize winner Miguel Ángel Asturias; while Arévalo Martínez was an unapologetic admirer of the United States, Asturias was a bitter critic of the New Orleans-based United Fruit Company (now part of United Brands Company), which he felt had plundered his country.[3][4][5]
"
Lawrence Aronovitch,"Lawrence Aronovitch (born May 25, 1974[1]) is a Canadian playwright and actor based in Ottawa, Ontario. He is the playwright in residence at the Great Canadian Theatre Company.[2] Aronovitch is a graduate of Harvard University, where he studied the history of science.[3] As an undergraduate, he appeared on stage in a number of student productions.[4][5]
"
Rane Arroyo,"Ramón Arroyo (November 15, 1954 – May 7, 2010) was an American playwright, poet and scholar of Puerto Rican descent[1] who wrote numerous books and received many literary awards. He was a professor of English and Creative Writing at the University of Toledo in Ohio. His work deals extensively with issues of immigration, Latino culture, and homosexuality.[2] Arroyo was openly gay and frequently wrote self-reflexive, autobiographical texts.[3] He was the long-term partner of the American poet Glenn Sheldon.
"
Yolanda Arroyo Pizarro,"Yolanda Arroyo Pizarro (born October 29, 1970) is a Puerto Rican novelist, short story writer and essayist.
"
John Ashbery,"
"
Damien Atkins,"Damien Atkins is a Canadian actor and playwright.[1]
"
W. H. Auden,"
"
Ellis Avery,"Ellis Avery (born Elisabeth Atwood; October 25, 1972 – February 15, 2019)[1] was an American writer. She won two Stonewall Book Awards (the only author to have done so),[2] one in 2008 for her debut novel The Teahouse Fire[3][4] and one in 2013 for her second novel The Last Nude.[5][6][7] The Teahouse Fire also won a Lambda Literary Award for Lesbian Debut Fiction and an Ohioana Library Fiction Award in 2007.  She self-published her memoir, The Family Tooth, in 2015.[8] Her final book, Tree of Cats, was independently published posthumously. An out lesbian, she is survived by her spouse, Sharon Marcus.[1]
"
Manuel Azaña,"Manuel Azaña Díaz (Spanish pronunciation: [maˈnwel aˈθaɲa]; 10 January 1880 – 3 November 1940) was a Spanish politician who served as Prime Minister of the Second Spanish Republic (1931–1933 and 1936), organizer of the Popular Front in 1935 and the last President of the Republic (1936–1939). He was the most prominent leader of the losing Republican cause during the Spanish Civil War of 1936–1939.
"
Cheryl B,"Cheryl Burke (September 19, 1972 – June 18, 2011), known professionally as Cheryl B, was an American journalist, spoken word poet, performance artist and playwright, associated with the East Village arts scene in New York City.[1] She is best known for her autobiographical book My Awesome Place: The Autobiography of Cheryl B, which was published posthumously and was co-winner, with John Irving's novel In One Person, of the 2013 Lambda Literary Award for Bisexual Literature.[2]
"
Mette Bach,"Mette Bach is a Danish-Canadian author, teacher, screenwriter, and director. She was born in Denmark and grew up in North Delta. Bach attended Simon Fraser University where she received a Bachelor of Arts in English. She has an MFA from the University of British Columbia's Creative Writing Program.
"
Sir Francis Bacon,"
"
Bruce Bagemihl,"Bruce Bagemihl is a Canadian biologist, linguist, and author of the book Biological Exuberance: Animal Homosexuality and Natural Diversity.[1][2]
"
Bilal Baig,"Bilal Baig is a Canadian writer and actor, most noted for their play Acha Bacha.[1] The play, which centres on a gay Pakistani-Canadian man struggling to reconcile his sexuality with his Muslim upbringing, was staged in a joint production by Theatre Passe Muraille and Buddies in Bad Times in 2018.[2]
"
James Robert Baker,"
"
John Roman Baker,"
"
James Baldwin,"
"
Honoré de Balzac,"
"
Victor J. Banis,"Victor Jerome Banis (May 25, 1937 – February 22, 2019) was an American author, often associated with the first wave of West Coast gay writing. For his contributions he has been called ""the godfather of modern popular gay fiction.""[2] He was openly gay.[3][4]
"
Keith Banner,"Keith Banner is an American writer, whose 2014 collection Next to Nothing: Stories was a shortlisted nominee for the Lambda Literary Award for Gay Fiction at the 27th Lambda Literary Awards in 2015.[1]
"
Kaushalya Bannerji,"Kaushalya Bannerji (born Calcutta[1]) is a Canadian poet.
"
Ann Bannon,"
"
Porfirio Barba Jacob,"Miguel Ángel Osorio Benítez (July 29, 1883 – January 14, 1942), better known by his pseudonym, Porfirio Barba-Jacob, was a Colombian poet and writer.
"
Djuna Barnes,"
"
Allen Barnett,"Allen Barnett (May 23, 1955 – August 14, 1991) was an American writer.[1] Although he published only one volume of short stories, The Body and Its Dangers, during his lifetime, the book is widely regarded as one of the most artistically significant depictions of gay life at the height of the AIDS crisis.[2]
"
Natalie Clifford Barney,"
"
Richard Barnfield,"
"
Damian Barr,"
"
Joelle Barron,"Joelle Barron is a Canadian poet and activist, whose debut poetry collection Ritual Lights was published in 2018.[1] The book was a longlisted nominee for the Gerald Lampert Award in 2019,[2] and Barron was a shortlisted finalist for the Writers' Trust of Canada's 2019 Dayne Ogilvie Prize for emerging LGBTQ writers.[3]
"
Roland Barthes,"
"
John Barton,"John Barton (born 1957) is a Canadian poet.
"
Jean Basile,"Jean Basile was the pen name of Jean Basile Bezroudnoff (January 5, 1932 – February 10, 1992), a French-born Canadian journalist and novelist from Quebec.[1] A key figure in the underground counterculture of Montreal in the 1960s and 1970s, he is most noted for his ""Mongol"" trilogy of novels, La Jument des mongols, Le Grand Khan and Les Voyages d'Irkoutsk, and for cofounding the counterculture magazine Mainmise.[2]
"
Jaime Bayly,"
"
Neil Bartlett,"
Neil Vivian Bartlett, OBE, (born 1958) is a British director, performer, translator, and writer. He was one of the founding members of Gloria, a production company established in 1988 to produce his work along with that of Nicolas Bloomfield, Leah Hausman and Simon Mellor.[1] His work has garnered several awards, including the 1985 Perrier Award (as director for Complicite, for More Bigger Snacks Now), the Time Out Dance Umbrella Award (for A Vision of Love Revealed in Sleep), a Writers Guild Award (for Sarrasine), a Time Out Theatre Award (for A Judgement in Stone), and the Special Jury Prize at the Cork Film Festival (for Now That It's Morning).[1] His production of The Dispute won a Time Out Award for Best Production in the West End and the 1999 TMA Best Touring Production award.[2] He was appointed an OBE in 2000 for his services to the arts.[3][4]
His 2004 production of Shakespeare's Pericles was nominated for an Olivier Award for Outstanding Theatrical Achievement in 2004 [5]
"
Sylvia Beach,"Sylvia Beach (March 14, 1887 – October 5, 1962), born Nancy Woodbridge Beach, was an American-born bookseller and  publisher who lived most of her life in Paris, where she was one of the leading expatriate figures between World War I and II.[1]
"
William Beckford,"
"
Aphra Behn,"
"
Billy-Ray Belcourt,"Billy-Ray Belcourt is a poet, scholar, and author from the Driftpile Cree Nation.
"
Gwen Benaway,"
"
Bruce Benderson,"Bruce Benderson (born August 6, 1946) is an American author, born to parents of Russian Jewish descent, who lives in New York. He attended William Nottingham High School (1964) in Syracuse, New York and then Binghamton University (1969). He is today a novelist, essayist, journalist and translator, widely published in France, less so in the United States.
"
E. F. Benson,"
"
Jeremy Bentham,"
"
S. Bear Bergman,"
"
Leonard Bernstein,"
"
Mattilda Bernstein Sycamore,"
"
Tess Berry-Hart,"
Tess Berry-Hart is a British playwright and novelist writing for adults, young adults and children.[1] Novels and theatre plays deal with themes such as the European migrant crisis, LGBT rights, mental illness, genetic engineering, and the sex-positive movement.  Berry-Hart has also written fiction and verbatim theatre pieces for stage to support human rights campaigns [2] and to raise funds for the refugee crisis.[3]
"
José Bianco,"José Bianco (1908–1986) was an Argentine essayist, translator, and writer. Bianco made translations of works by Henry James, Jean-Paul Sartre, Julien Benda, and Ambrose Bierce, among others.
"
Anthony Bidulka,"Anthony Bidulka (born July 24, 1962)[1] is a Canadian writer of mystery, thriller and suspense novels. Bidulka's books have been nominated for Crime Writers of Canada Arthur Ellis Awards, Saskatchewan Book Awards, a ReLit award, and Lambda Literary Awards.
"
Aristide von Bienefeldt,"Aristide von Bienefeldt (24 October 1959, Rozenburg – 15 January 2016) was the pen name of the Dutch novelist Rijk de Jong.[1][2]
"
Imogen Binnie,"Imogen Binnie is a transgender novelist who made her debut with the publication of Nevada in 2013.[1]
"
Elizabeth Bishop,"
"
bill bissett,"Bill Bissett (born William Frederick Bissett, November 23, 1939) is a Canadian poet known for his unconventional style.
"
Persimmon Blackbridge,"Persimmon Blackbridge (born 1951)[1] is a Canadian writer and artist whose work focuses on feminist, lesbian, disability and mental health issues. She identifies herself as a lesbian, a person with a disability and a feminist. Her work explores these intersections through her sculptures, writing, curation and performance. The novels she has written follow characters that are very similar to Blackbridge's own life experiences, allowing her to write honestly about her perspective. Blackbridge's struggle with her mental health has become a large part of her practice, she uses her experience with mental health institutions to address her perspective on them. Blackbridge is involved in the film, SHAMELESS: The Art of Disability[2] exploring the complexity of living with a disability. Her contributions to projects like this help destigmatize the attitudes towards people with disabilities. Blackbridge has won many awards for her work exploring her identity and the complexities that come with it.
"
Marie-Claire Blais,"
"
Cassandra Blanchard,"Cassandra Blanchard is a Canadian poet.[1] Her debut collection, Fresh Pack of Smokes, was the 2020 winner of the ReLit Award for poetry.[2]
"
Robin Blaser,"Robin Francis Blaser (May 18, 1925 – May 7, 2009) was an author and poet in both the United States and Canada.
"
Ali Blythe,"Ali Blythe is a Canadian poet and editor. His debut poetry collection Twoism was a shortlisted finalist for the Dorothy Livesay Poetry Prize in 2016,[2] and he was a finalist for the 2017 Dayne Ogilvie Prize for LGBTQ writers.[3]
"
Charlie Bondhus,"Michael McKeown Bondhus (born Charlie, 1981) is an American poet and author of four books. His second book, All the Heat We Could Carry, was the winner of the 2013 Main Street Rag Poetry Book Award, the 2014 Thom Gunn Award for Gay Poetry, and a finalist for the Gival Press Poetry Book Award.[1]
"
Yolanda Bonnell,"Yolanda Bonnell is a Canadian actress and playwright. She is most noted for her play bug, which was a Governor General's Award nominee for English-language drama at the 2020 Governor General's Awards.[1]
"
Gregory Bonsignore,"Gregory Bonsignore (born 1983) is an International Playwright, television program creator, director for theatre, television and film, Producer, novelist, musical theatre librettist & lyricist, screenwriter, comedian and actor.
"
Walter Borden,"Walter Marven Borden, CM ONS (born 1942) is a Canadian actor, poet and playwright. He is originally from New Glasgow, Nova Scotia.[1] His film and television credits include Nurse.Fighter.Boy, The Event, Gerontophilia, Lexx and Platinum.
"
Barrie Jean Borich,"Barrie Jean Borich is an American writer. She is best known for her memoirs My Lesbian Husband: Landscapes of a Marriage,[2] which won a Stonewall Book Award in 2000 and was a shortlisted Lambda Literary Award nominee for Lesbian Biography at the 12th Lambda Literary Awards, and Body Geographic,[2] which won the Lambda for Lesbian Biography/Memoir at the 26th Lambda Literary Awards.[3]
"
Michel Marc Bouchard,"Michel Marc Bouchard, OC CQ (born February 2, 1958) is a Canadian playwright.[1][2] He has received the Prix Journal de Montreal, Prix du Cercle des critiques de l'Outaouais, the Dora Mavor Moore Award for Outstanding New Play, the Floyd S. Chalmers Canadian Play Award, and nine Jessie Richardson Theatre Awards for the Vancouver productions of Lilies and The Orphan Muses.
"
Elizabeth Bowen,"
"
Jane Bowles,"Jane Bowles (/boʊls/; born Jane Sydney Auer;  February 22, 1917 – May 4, 1973) was an American writer and playwright.
"
Paul Bowles,"
"
John Boyne,"
"
Lawrence Ytzhak Braithwaite,"Lawrence Christopher Patrick (aka Ytzhak) Braithwaite (March 17, 1963 – July 14, 2008[1]) was a Canadian novelist, spoken-word artist, dub poet, essayist, digital drummer and short fiction writer.
"
Christopher Bram,"
"
Dionne Brand,"Dionne Brand CM FRSC (born 7 January 1953) is a Canadian poet, novelist, essayist and documentarian. She was Toronto's third Poet Laureate from September 2009 to November 2012.[1][2][3] She was admitted to the Order of Canada in 2017[4][5] and has won the Governor General's Award for Poetry, the Trillium Prize for Literature, the Pat Lowther Award for Poetry, the Harbourfront Writers' Prize, and the Toronto Book Award.[6]
"
Ken Brand,"Ken Brand is a Canadian playwright from Winnipeg, Manitoba.[1] One of the significant figures in the emergence of LGBT theatre in Canada in the 1990s,[1] he is most noted for his play The Bathhouse Suite,[2] which appears in the Sky Gilbert-edited anthology Perfectly Abnormal: Seven Gay Plays alongside plays by Harry Rintoul, Shawn Postoff, Christian Lloyd, Greg MacArthur, Greg Kearney and Michael Achtman.[3]
"
Beth Brant,"Beth E. Brant, Degonwadonti,[1] or Kaieneke'hak[2] was a Mohawk writer, essayist, and poet of the Mohawks of the Bay of Quinte First Nation from the Tyendinaga Mohawk Territory in Ontario, Canada.[1][2] She is also a lecturer, editor, and speaker. She wrote based on her deep connection to her indigenous people and touched on the infliction of racism and colonization.[2] She brought her writing to life from her personal experiences of being a lesbian, having an abusive spouse, and her mixed blood heritage from having a Mohawk father and a Scottish-Irish mother.[1] She has three books of essays and short stories and three edited anthologies published.
"
Perry Brass,"Perry Brass born September 15, 1947, Savannah, Georgia is an American author, journalist, playwright[1] and essayist.
"
André Brassard,"
"
Bertolt Brecht,"
"
Poppy Z. Brite,"
"
Lynn Breedlove,"Lynn Breedlove (also known as Lynnee Breedlove) is an American musician, writer, and performer who was born in Oakland, California, United States.
"
Michael Bronski,"
"
Carellin Brooks,"Carellin Brooks is a Canadian writer, whose debut novel One Hundred Days of Rain won the Edmund White Award in 2016[1] and the ReLit Award for Fiction in 2017.[2]
"
Brigid Brophy,"
"
Nicole Brossard,"Nicole Brossard OC CQ (born November 27, 1943) is a leading French-Canadian formalist poet and novelist.[1][2]  Her work is known for exploration of feminist themes[3] and for challenging masculine-oriented language and points of view in French literature.[4]
"
Olga Broumas,"Olga Broumas (born 6 May 1949, Hermoupolis) is a Greek poet, resident in the United States. She has been Poet-in-Residence and Director of Creative Writing at Brandeis University since 1995. 
"
Rebecca Brown,"Rebecca Brown was an American novelist, essayist, playwright, artist, and professor.[2] She was the first writer in residence at Richard Hugo House, co-founder of the Jack Straw Writers Program,[3] and served as the creative director of literature at Centrum in Port Townsend, Washington from 2005 to 2009.[4][5] Brown's best-known work is her novel The Gifts of the Body, which won a Lambda Literary Award in 1994.[6] Rebecca Brown is an Emeritus faculty member in the MFA in Creative Writing Program at Goddard College in Plainfield, Vermont[7] and is also a multi-media artist whose work has been displayed in galleries such as the Frye Art Museum.[8]
"
Rita Mae Brown,"Rita Mae Brown (born November 28, 1944) is an American feminist writer, best known for her coming-of-age autobiographical novel, Rubyfruit Jungle. Brown was active in a number of civil rights campaigns, but tended to feud with their leaders over the marginalising of lesbians within the feminist groups. Brown received the Pioneer Award for lifetime achievement at the Lambda Literary Awards in 2015.
"
Nathan Burgoine,"'Nathan Burgoine is a Canadian writer.[1] His debut novel Light was a shortlisted Lambda Literary Award nominee in the Science Fiction, Fantasy and Horror category at the 26th Lambda Literary Awards.[2] The novel was published by Bold Strokes Books in 2013.[3]
"
Ronnie Burkett,"Ronnie Burkett, OC is a Canadian puppeteer, best known for his original theatrical plays for adults, performed with marionettes. Burkett, who hails from Medicine Hat, was the puppeteer for Ralph on the TV Ontario series Harriet's Magic Hats during seasons three and four.
"
John Horne Burns,"
"
William S. Burroughs,"
"
Aldo Busi,"Aldo Busi (born 25 February 1948) is a contemporary Italian writer and translator, famous for his linguistic invention and for his polemic force as well as for some prestigious translations from English, German and ancient Italian that include Johann Wolfgang Goethe, Lewis Carroll, Christina Stead, Giovanni Boccaccio, Baldesar Castiglione, Friedrich Schiller, Joe Ackerley, John Ashbery, Heimito von Doderer, Ruzante, Meg Wolitzer, Paul Bailey, Nathaniel Hawthorne.[1]
"
Alec Butler,"
"
Lady Eleanor Butler,"
"
Samuel Butler,"
"
Lord Byron,"
"
Patrick Califia,"
"
Anne Cameron,"(Barbara) Anne Cameron   (born August 20, 1938 in Nanaimo, British Columbia)[1] is a Canadian novelist, poet, screenwriter, short story and children's book writer.
"
Elspeth Cameron,"Elspeth MacGregor Cameron (born 10 January 1943) is a Canadian writer best known for her biographies of noted Canadian literary figures such as Irving Layton and Earle Birney. She is also noted for her 1997 memoir No Previous Experience, a memoir of her process of self-discovery when, having previously identified as heterosexual, she began to develop a sexual and romantic attraction to historian Janice Dickin McGinnis.[1] She has also published a volume of poetry.
"
Rafael Campo,"Rafael Campo (born 1964 New Jersey) is an American poet, doctor, and author.
"
Truman Capote,"
"
Pat Capponi,"Pat Capponi, OOnt CM (July 1, 1949 – April 6, 2020) was a Canadian writer and an advocate for mental health issues and poverty issues in Canada.
"
Tom Cardamone,"Tom Cardamone is an American writer of speculative fiction. His published works include the anthology The Lost Library: Gay Fiction Rediscovered, the fantasy novels The Werewolves of Central Park and Green Thumb, the novella Pacific Rimming and the short story collection Pumpkin Teeth.
"
Nancy Cárdenas,"Nancy Cárdenas (29 May 1934 – 23 March 1994)[1] was a Mexican actor, poet, writer and feminist.[2] She was a playwright and one of the first Mexican people to publicly declare her homosexuality.
"
Dale Carpenter,"Dale Carpenter (born December 27, 1966) is an American legal commentator and Professor of Law at the SMU Dedman School of Law.[1] He formerly served as the Earl R. Larson Professor of Civil Rights and Civil Liberties Law at the University of Minnesota Law School for sixteen years.[2] As a professor, Carpenter specializes in constitutional law, the First Amendment, Due Process and Equal Protection clauses, sexual orientation and the law, and commercial law.
"
Edward Carpenter,"
"
Michael Carroll,"Michael Carroll is an American writer.
"
Julián del Casal,"José Julián Herculano del Casal y de la Lastra (November 7, 1863 – October 21, 1893) was a poet from Havana, Cuba. He started his writing career at a young age and later in life was known as an important forebearer of modernistic expression in Latin America.
"
Sue-Ellen Case,"Sue-Ellen Case (born 1942) is Professor and Chair of Critical Studies in the Theatre Department in the School of Theater Film and Television at the University of California, Los Angeles.[1]
"
Joseph Cassara,"Joseph Cassara (born 1989) is an American writer,[1] whose debut novel The House of Impossible Beauties was published in 2018.[2] The novel, an exploration of drag culture in New York City in the 1980s during the HIV/AIDS crisis, was inspired in part by Angie Xtravaganza and the film Paris Is Burning.[3]
"
Stacie Cassarino,"Stacie Cassarino (born 1975) is an American poet, literary scholar, editor, and educator. She is the author of the collection of poems, Zero at the Bone,[1] and Culinary Poetics and Edible Images in Twentieth-Century American Literature.[2]
"
Clint Catalyst,"
"
Willa Cather,"
"
Catullus,"
"
Constantine P. Cavafy,"Constantine Peter Cavafy (/kəˈvɑːfi/;[2] also known as Konstantinos Petrou Kavafis; Greek: Κωνσταντίνος Π. Καβάφης [ka'vafis]; April 29 (April 17, OS), 1863 – April 29, 1933) was a Greek poet, journalist and civil servant from Alexandria.[3] He was also a homosexual[4] whose work, as one translator put it, ""holds the historical and the erotic in a single embrace.""[5]
"
Kate Cayley,"Kate Cayley is a Canadian writer and theatre director. She was the artistic director of Stranger Theatre[1] and was playwright-in-residence at Toronto's Tarragon Theatre from 2009 to 2017.[2]
"
Luis Cernuda,"
"
Robert Chafe,"Robert Chafe (born 1971)[1] is a Canadian playwright and actor based in St. John's. He is the author of seventeen stage scripts and co-author of another eight.[2] His play Afterimage won the Governor General's Award for English language drama at the 2010 Governor General's Awards.[3] He was previously nominated for the same award at the 2004 Governor General's Awards for his plays Butler's Marsh and Tempting Providence.
"
Paul Chamberland,"Paul Chamberland (born 1939 in Longueuil, Quebec) is a poet and Quebec essayist. He is also considered as a humanist. He studied philosophy and literature.[1] He participated in La Nuit de La poésie in the 27th of March 1970, with Gaston Miron, Claude Péloquin, Raôul Duguay, Michèle Lalonde, etc.
"
Jane Chambers,"Jane Chambers (March 27, 1937 – February 15, 1983) was an American playwright. She was a ""pioneer in writing theatrical works with openly lesbian characters"".[1]
"
Jessie Chandler,"Jessie Chandler (born August 16, 1968) is an American author of mystery and humorous caper fiction, most of which is about lesbian protagonists. Her work includes the Shay O'Hanlon Caper Series, many short stories, and other novels. Chandler has presented talks about the craft of writing, serves as a mentor to many up-and-coming writers, and is a contributing member of The Golden Crown Literary Society, Sisters in Crime, and serves on the board of Mystery Writers of America.
"
Graham Chapman,"
"
George Chauncey,"George Chauncey (born 1954)[1]  is a professor of history at Columbia University.  He is best known as the author of Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890–1940 (1994).
"
Normand Chaurette,"Normand Chaurette (born July 9, 1954 in Montreal, Quebec) is a Canadian playwright,[1] best known as one of the first prominent writers of LGBT-themed plays in Quebec and Canada.[2]
"
John Cheever,"
"
Wayson Choy,"
"
Jillian Christmas,"Jillian Christmas is a Canadian poet from Vancouver, British Columbia.[1] She is most noted as the 2021 winner of the League of Canadian Poets' Sheri-D Wilson Golden Beret Award for spoken word poetry.[2] Her published debut collection, The Gospel of Breaking, was also a shortlisted finalist for both the Gerald Lampert Award and the Pat Lowther Award in the same year.[3]
"
Hélène Cixous,"
"
John Cleland,"
"
Kate Clinton,"Kate Clinton (born November 9, 1947[1]) is an American comedian specializing in political commentary from a gay/lesbian point of view.
"
Jean Cocteau,"
"
Christopher Coe,"Christopher Coe (1953 – September 6, 1994) was an American novelist.[1]
"
Henri Cole,"Henri Cole (born 1956) is an American poet, who has published many collections of poetry and a memoir. His books have been translated into French, Spanish, Italian, German, and Arabic.
"
Colette,"
"
Joey Comeau,"
"
Ivy Compton-Burnett,"
"
