Name,Lifetime,Nationality,Genre,Notable works,References
Neil Bartlett,b. 1958,English,playwright,"More Bigger Snacks Now, A Vision of Love Revealed in Sleep, Sarrasine, A Judgement in Stone and Now That It's Morning",[9]
Sylvia Beach,1887–1962,American,"editor, memoirist",Founder of Shakespeare and Company,[9]
William Beckford,1760–1844,English,"novelist, travel writer",Vathek,[9]
Aphra Behn,c. 1640–1689,English,"dramatist, poet and novelist",Oroonoko,[9]
Billy-Ray Belcourt,b. ?,Canadian,poet,This Wound Is a World,[45]
Gwen Benaway,b. 1987,Canadian,poet,"Ceremonies for the Dead, Passage",[45]
Bruce Benderson,b. 1946,American,"novelist, essayist",Autobiographie érotique,[46]
E. F. Benson,1867–1940,English,novelist,Dodo,[9]
Jeremy Bentham,1748–1832,English,philosopher,An Introduction to the Principles of Morals and Legislation,[9]
S. Bear Bergman,b. 1974,American-Canadian,"author, poet, playwright, and theater artist",Butch Is A Noun,[47]
Leonard Bernstein,1918-1990,American,"composer, conductor, author, music lecturer, and pianist",West Side Story,[48]
Mattilda Bernstein Sycamore,b. ?,American,novelist,The End of San Francisco,[49]
Tess Berry-Hart,b. 1974,British,"playwright, novelist and activist",Sochi 2014,[50]
José Bianco,1909–1986,Argentine,"essayist, novelist and editor",Various works published in the magazine Sur,[8][51]
Anthony Bidulka,b. 1962,Canadian,novelist,Flight of Aquavit,[52]
Aristide von Bienefeldt,1959-2016,Dutch,novelist,"Bekentenissen van een Stamhouder (""Confessions of a Son and Heir"")",[53]
Imogen Binnie,b. ?,American,novelist,Nevada,[54]
Elizabeth Bishop,1911–1979,American,"poet, short story writer","North and South, Questions of Travel",[9]
bill bissett,b. 1939,Canadian,poet,Awake in the Red Dessert (spoken word album),[55]
Persimmon Blackbridge,b. 1951,Canadian,"novelist, non-fiction writer","Sunnybrook, Prozac Highway",[56]
Marie-Claire Blais,b. 1939,Canadian,"novelist, playwright","A Season in the Life of Emmanuel, Mad Shadows, Augustino and the Choir of Destruction",[6][9]
Cassandra Blanchard,b. ?,Canadian,poet,Fresh Pack of Smokes,[57]
Robin Blaser,1925-2009,Canadian,poet,The Collected Books of Jack Spicer (editor),[58]
Ali Blythe,b. ?,Canadian,poet,Twoism,[59]
Charlie Bondhus,b. 1981,American,poet,All the Heat We Could Carry,[60]
Yolanda Bonnell,b. ?,Canadian,playwright,Bug,[61]
Gregory Bonsignore,b. 1983,American,"playwright, librettist, lyricist, TV writer","Atomic, Squad 85",[62]
Walter Borden,b. 1942,Canadian,playwright,Tightrope Time: Ain't Nuthin' More Than Some Itty Bitty Madness Between Twilight and Dawn,[63]
Barrie Jean Borich,b. ?,American,memoirist,"My Lesbian Husband, Body Geographic",[64]
Michel Marc Bouchard,b. 1958,Canadian,playwright,"Lilies, The Orphan Muses",[18]
Elizabeth Bowen,1899–1973,Irish,novelist,Eva Trout,[9]
Jane Bowles,1917–1973,American,"novelist, playwright",Two Serious Ladies,[9]
Paul Bowles,1910–1999,American,"novelist, poet, translator",The Sheltering Sky,[9]
John Boyne,b. 1971,Irish,novelist,The Boy in the Striped Pyjamas,[65]
Lawrence Ytzhak Braithwaite,1963-2008,Canadian,novelist,Wigger,[66]
Christopher Bram,b. 1952,American,novelist,Father of Frankenstein,[39]
Dionne Brand,b. 1953,Canadian,"novelist, poet","Land to Light On, What We All Long For, Sans Souci",[67]
Ken Brand,b. ?,Canadian,playwright,"Benchmarks, The Bathhouse Suite, Burying Michael",[68]
Beth Brant,1941-2015,Canadian,poet,A Gathering of Spirit: A Collection by North American Women,[69]
Perry Brass,b. 1947,American,"non-fiction, novels, poetry, plays","″How to Survive Your Own Gay Life″ ″King of Angels, A Novel About the Genesis of Identity and Belief″",[70]
André Brassard,b. 1946,Canadian,"stage director, filmmaker and actor","Once Upon a Time in the East, Le soleil se lève en retard (both films)",[71]
Bertolt Brecht,1898–1956,German,playwright,The Threepenny Opera,[9]
Poppy Z. Brite,b. 1967,American,novelist,"Liquor, Prime, and Soul Kitchen",[9]
Lynn Breedlove,b. 1965,American,novelist,Godspeed,[72]
Michael Bronski,b. 1949,American,historian,A Queer History of the United States,[73]
Carellin Brooks,b. ?,Canadian,"novelist, non-fiction","One Hundred Days of Rain, Wreck Beach",[74]
Brigid Brophy,b. 1929,English,novelist,Hackenfeller's Ape,[9]
Nicole Brossard,b. 1943,French Canadian,"poet, novelist",L'Echo bouge beau,[6][9][18]
Olga Broumas,b. 1949,Greek-American,poet,Beginning with O,[9]
Rebecca Brown,b. 1956,American,novelist,The Gifts of the Body,[75]
Rita Mae Brown,b. 1944,American,novelist,Rubyfruit Jungle,[9]
Nathan Burgoine,b. ?,Canadian,"novelist, short stories",Light,[76]
Ronnie Burkett,b. 1957,Canadian,playwright,Tinka's New Dress,[77]
John Horne Burns,1916–1953,American,novelist,The Gallery,[9]
William S. Burroughs,1914–1997,American,novelist,"Naked Lunch, Queer",[78]
Aldo Busi,b. 1948,Italian,novelist,Seminar on Youth,[79]
Alec Butler,b. 1959,Canadian,playwright,Black Friday,[80]
Lady Eleanor Butler,1739–1829,Anglo-Irish,diarist,Ladies of Llangollen : letters and journals of Lady Eleanor Butler (1739–1829) and Sarah Ponsonby (1755–1831),[9]
Samuel Butler,1835–1902,English,novelist,"Erewhon, The Way of All Flesh",[9]
Lord Byron,1788–1824,English,poet,Don Juan (poem),[9]
Patrick Califia,b. 1954,American,non-fiction,Public Sex: The Culture of Radical Sex,[81]
Anne Cameron,b. 1938,Canadian,"novelist, poet, screenwriter",Dreamspeaker (screenplay),[82]
Elspeth Cameron,b. 1943,Canadian,"biographies and memoirs, poetry","No Previous Experience,",[83]
Rafael Campo,b. 1964,American,poet,"""Silence= Death""",[84]
Truman Capote,1924–1984,American,"novelist, non-fiction","Breakfast at Tiffany's, In Cold Blood",[9]
Pat Capponi,1949-2020,Canadian,"mystery novelist, non-fiction",Bound by Duty: Walking the Beat with Canada's Cops,[85]
Tom Cardamone,b. ?,American,speculative fiction,Green Thumb,[86]
Nancy Cárdenas,1934-1994,Mexican,"actor, activist, filmmaker",México de mis amores (documentary),[8]
Dale Carpenter,b. 1966,American,non-fiction,Flagrant Conduct: The Story of Lawrence v. Texas,[87]
Edward Carpenter,1844–1929,English,"poet, academic","Civilisation, Its Cause and Cure",[9]
Michael Carroll,b. ?,American,short stories,Little Reef,[88]
Julián del Casal,1863–1893,Cuban,poet,Mi museo ideal (poetry collection),[8]
Sue-Ellen Case,b. 1942,American,"playwright, critic",Butch/Femme: Inside Lesbian Genders,[89]
Joseph Cassara,b. 1989,American,novelist,The House of Impossible Beauties,[90]
Stacie Cassarino,b. 1975,American,poet,Zero at the Bone,[91]
Clint Catalyst,b. 1971,American,"writer, actor",Cottonmouth Kisses,[92]
Willa Cather,1873–1947,American,"novelist, writer of stort stories and essays",My Ántonia,[9]
Catullus,ca 85-ca 55 B.C.,Roman,poet,Catullus et in eum commentarius,[9]
Constantine P. Cavafy,1863–1933,Greek,poet,"""Ithaca"" (poem)",[9]
Kate Cayley,b. ?,Canadian,"poet, dramatist, short stories","How You Were Born, The Hangman in the Mirror, After Akhmatova",[93]
Luis Cernuda,1902–1963,Spanish,poet,La realidad y el deseo,[9]
Robert Chafe,b. 1971,Canadian,playwright,"Afterimage, Butler's Marsh, Tempting Providence (plays)",[94]
Paul Chamberland,b. 1939,Canadian,"poet, essayist","L'Afficheur hurle, En nouvelle barbarie",[95]
Jane Chambers,1937–1983,American,playwright,Tales of the Revolution and Other American Fables,[9]
Jessie Chandler,b. 1968,American,writer of mysteries and humorous caper fiction,Shay O'Hanlon Caper Series,[96]
Graham Chapman,1941-1989,British,Screenwriter,A liar's Autobiography,
George Chauncey,b. 1953,American,historian,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890–1940",[97]
Normand Chaurette,b. 1954,Canadian,playwright,"Fragments d'une lettre d'adieu lus par les géologues, Je vous écris du Caire",[98]
John Cheever,1912–1982,American,"novelist, short stories","The Enormous Radio, The Five-Forty-Eight, The Wapshot Chronicle, The Swimmer",[9]
Wayson Choy,1939-2019,Canadian,"novelist, memoirist","The Jade Peony, Paper Shadows,  All That Matters",[99]
Jillian Christmas,b. ?,Canadian,poet,The Gospel of Breaking,[100]
Hélène Cixous,b. 1937,French,"philosopher, writer","""The Laugh of the Medusa"" (essay)",[9]
John Cleland,1710–1789,English,novelist,Fanny Hill,[9]
Kate Clinton,b. 1947,American,comedian,"Don't Get Me Started, What the L, and I Told You So",[101]
Jean Cocteau,1889–1963,French,"poet, novelist, dramatist",La Voix humaine,[9]
Christopher Coe,1953-1994,American,novelist,"I Look Divine, Such Times",[102]
Henri Cole,b. 1956,American,poet,Touch (poetry collection),[103]
Colette,1873–1954,French,novelist,Claudine series,[9]
Joey Comeau,b. 1980,Canadian,writer,"A Softer World, Overqualified, Lockpick Pornography",[104]
Ivy Compton-Burnett,1884–1969,English,writer,Manservant and Maidservant,[9]
Carmen Conde Abellán,1907-1996,Spanish,"academic, poet, writer",Poesía ante el tiempo y la inmortalidad,[105][106]
Timothy Conigrave,1959–1994,Australian,"actor, writer",Holding the Man,[107]
Garrard Conley,b. 1984/1985,American,memoirist,Boy Erased: A Memoir,[108]
Bernard Cooper,b. 1951,American,writer,The Bill From My Father: A Memoir,[39]
Dennis Cooper,b. 1953,American,writer,George Miles Cycle,[39][109]
Copi (pseudonym of Raúl Damonte),1941–1987,Argentine/French,"writer, actor, director, cartoonist",La Femme assise,[8]
Rick Copp,b. 1964,American,mystery writer,"The Actor's Guide to Murder, The Actor's Guide to Adultery, The Actor's Guide to Greed, Where the Bears Are",[110]
Steven Corbin,1953-1995,American,novelist,Fragments That Remain,[111]
Jeanne Cordova,1948-2016,American,"activist, journalist",When We Were Outlaws: a Memoir of Love and Revolution,[112]
Marie Corelli,1855–1924,Scottish,writer,A Romance of Two Worlds,[9]
Carl Corley,1919-2016,American,writer,A Chosen World,[113]
Brenda Cossman,b. 1960,Canadian,academic,Sexual Citizens: The Legal and Cultural Regulation of Sex and Belonging,[114]
Douglas Coupland,b. 1961,Canadian,"novelist, short story writer, playwright","Generation X: Tales for an Accelerated Culture, Microserfs, JPod",[115]
Dani Couture,b. 1978,Canadian,writer,Sweet (poetry collection),[116]
Noël Coward,1899–1973,English,playwright,Private Lives,[9]
Daniel Allen Cox,b. 1976,Canadian,writer,"Shuck, Krakow Melt",[117]
Ivan Coyote,b. 1969,Canadian,"spoken word performer, writer",Tomboy Survival Guide,[118]
Caleb Crain,b. 1967,American,"novelist, critic","Necessary Errors, American Sympathy",[119]
Hart Crane,1899–1933,American,poet,The Bridge,[9]
Mark Crawford,,Canadian,playwright,"The Birds and the Bees, Bed and Breakfast",[120]
Quentin Crisp,1908-1999,British,"books, stage, screen, TV","""The Naked Civil Servant""",[121]
Eva Crocker,b. ?,Canadian,short stories,Barrelling Forward,[59]
Mart Crowley,b. 1935,American,playwright,The Boys in the Band,[122]
Countee Cullen,1903–1946,American,writer,Color (poetry collection),[9]
Nancy Jo Cullen,b. ?,Canadian,"poet, short stories","Science Fiction Saint, Pearl, Untitled Child, and Canary (a short story collection)",[123]
Tom Culligan,b. 1945,Canadian,businessman,Teacups & Sticky Buns,[124]
Michael Cunningham,b. 1952,American,novelist,The Hours,[39]
Peter Cureton,1965-1994,Canadian,playwright,Passages,[125]
Jameson Currier,b. 1955,American,"novelist, short stories","Dancing on the Moon, Where the Rainbow Ends, The Wolf at the Door",[126]
Jen Currin,b. ?,American/Canadian,poet,The Inquisition Yours,[127]
Jean-Paul Daoust,b. 1946,Canadian,"poet, novelist, short stories","Les Cendres bleues, Black Diva",[128]
Jim David,b. 1954,American,"comedian, actor, playwright",South Pathetic,[129]
Christopher Davis,b. 1953,American,"novelist, short stories","Valley of the Shadow, Philadelphia",[130]
Tanya Davis,b. ?,Canadian,poet,Make a List,[131]
Amber Dawn,b. ?,Canadian,novelist,Sub Rosa,[132]
Samuel R. Delany,b. 1942,American,"novelist, literary critic","Hogg, Dhalgren, The Motion of Light in Water, Dark Reflections",[133]
A. M. Dellamonica,b. 1968,Canadian,novelist,Indigo Springs,[134]
David Demchuk,b. ?,Canadian,"novelist, playwright","The Bone Mother, Touch, If Betty Should Rise",[135]
Joel Derfner,b. 1973,American,"memoirist, author, essayist, humorist","Gay Haiku, Swish, Lawfully Wedded Husband",[136]
Augusto D'Halmar,1882–1950,Chilean,novelist,Palabras para canciones,[8]
Emily Dickinson,1830–1886,American,poet,The Poems of Emily Dickinson,[9]
Joe DiPietro,b. 1961,American,playwright,"Memphis, Fucking Men",[137]
Thomas Disch,1940-2008,American,"novelist, poet",On Wings of Song,[138]
Farzana Doctor,b. ?,Canadian,novelist,Six Metres of Pavement,[139]
John Donne,1572–1631,English,poet,Notable for his erotic poetry and elegies,[9]
Nisa Donnelly,,American,novelist,"The Bar Stories: A Novel After All, The Love Songs of Phoenix Bay",[140]
Emma Donoghue,b. 1969,Irish/Canadian,"novelist, short story writer",Room,[141]
José Donoso,1925–1996,Chilean,novelist,Hell Has No Limits,[8]
John Donovan,1928-1992,American,"young adult novelist, dramatist",I'll Get There. It Better Be Worth the Trip,[142]
"H.D., born Hilda Doolittle",1886–1961,American,poet,Helen in Egypt,[9]
Fernand Dorais,1928-2003,Canadian,"academic literature, erotica","Entre Montréal ...et Sudbury, Témoins d'errances en Ontario français, Hermaphrodismes",[143]
Mark Doty,b. 1953,American,poet and memoirist,"Heaven's Coast, Fire to Fire",[144]
Lord Alfred Douglas,1870–1945,English,poet,Oscar Wilde and Myself,[9]
Norman Douglas,1868–1952,Scottish-Austrian,novelist,Old Calabria,[9]
Brian Drader,b. 1960,Canadian,playwright,"Prok, The Fruit Machine, The Norbals",[145]
Neal Drinnan,b. ?,Australian,novelist,Izzy and Eve,[146]
Daphne du Maurier,1907-1989,English,"author, playwright",Rebecca,[147]
Peter Dubé,b. ?,Canadian,"novelist, short story writer",Editor of several anthologies of gay male literature,[148]
René-Daniel Dubois,b. 1955,Canadian,playwright,Being at Home with Claude,[98]
Carol Ann Duffy,b. 1955,Scottish,"poet, playwright",Standing Female Nude,[149]
Maureen Duffy,b. 1933,English,"novelist, poet, playwright",That's How It Was,[9]
Stella Duffy,b. 1963?,English/New Zealand,novelist,State of Happiness,[150]
Robert Duncan,1919–1988,American,poet,"The Opening of the Field, Roots and Branches, and Bending the Bow",[9]
Warren Dunford,b. 1963,Canadian,mystery,"Soon to Be a Major Motion Picture, Making a Killing, The Scene Stealer",[151]
Paul Dunn,,Canadian,playwright,"The Gay Heritage Project, Outside",[120]
Kristyn Dunnion,b. 1969,Canadian,"novelist, short story writer",The Dirt Chronicles,[152]
Larry Duplechan,b. 1956,American,novelist,"Blackbird, Got 'til It's Gone",[153]
Elana Dykewomon,b. 1949,American,"novelist, poet",Beyond the Pale,[9]
Jim Egan,1921-2000,Canadian,"activist, journalist",Challenging the Conspiracy of Silence,[154]
Bret Easton Ellis,b. 1964,American,novelist,"American Psycho, Glamorama",[155]
Guy Édoin,b. ?,Canadian,screenwriter,Wetlands (Marécages),[156]
Chike Frankie Edozien,b. ?,Nigerian-American,"journalist, memoirist",Lives of Great Men: Living and Loving as an African Gay Man,[157]
Jorge Eduardo Eielson,1924–2006,Peruvian,poetry,"Habitación en Roma, El cuerpo de Giulia-No and Primera muerte de María (novels)",[8]
Lars Eighner,b. 1948,American,"non-fiction, erotica",Travels with Lizbeth,[158]
Francesca Ekwuyasi,b. ?,Nigerian-Canadian,novelist,Butter Honey Pig Bread,[159]
Deborah Ellis,b. ?,Canadian,"non-fiction, young adult literature","The Breadwinner, The Heaven Shop",[160]
Sarah Ellis,b. 1952,Canadian,children's,"Odd Man Out, Pick Up Sticks",[160]
T. S. Eliot,1888–1965,English,poet,The Waste Land,[9]
Gloria Escomel,b. 1941,Uruguayan-Canadian,"novelist, dramatist, journalist","Pièges, Fruit de la passion",[6]
Michael Estok,1939-1989,Canadian,poet,A Plague Year Journal,[161]
Evan Fallenberg,b. 1961,American-Israeli,novelist,"Light Fell, When We Danced on Water",[162]
Sara Farizan,b. ?,American,young adult literature,If You Could Be Mine,[163]
David B. Feinberg,1956–1994,American,journalist,Queer and Loathing,[164]
Leslie Feinberg,1949–2014,American,"novelist, non-fiction",Stone Butch Blues,[165]
Joshua M. Ferguson,b. ?,Canadian,memoirist,"Me, Myself, They",[166]
Anderson Ferrell,b. ?,American,novelist,"Where She Was, Home for the Day, Have You Heard",[167]
Robert Ferro,1941–1988,American,novelist,The Family of Max Desir,[9]
Hubert Fichte,1935–1986,German,writer,Die Geschichte der Empfindlichkeit,[9]
Edward Field,b. 1924,American,poetry,"Counting Myself Lucky, Selected Poems 1963-1992",[9]
Harvey Fierstein,b. 1954,American,playwright,Torch Song Trilogy,[168]
Connie Fife,b. 1961,Canadian,poetry,"Beneath the Naked Sun, Poems for a New World",[6]
Timothy Findley,1930–2002,Canadian,"novelist, playwright","The Wars, Headhunter, Elizabeth Rex",[6][169]
Lois Fine,b. ?,Canadian,dramatist,Freda and Jem's Best of the Week,[170]
Larry Fineberg,b. 1945,Canadian,playwright,"Eve, Human Remains, Failure of Nerve",[171]
Ronald Firbank,1886–1926,English,novelist,"Valmouth, Concerning the Eccentricities of Cardinal Pirelli",[9]
Diane Flacks,b. 1955,Canadian,playwright,"Myth Me, By a Thread",[98]
Janet Flanner,1892–1978,American,journalist,"Foreign correspondent in Paris, France",[9]
Lisa Foad,b. ?,Canadian,short stories,The Night Is a Mouth,[172]
Waawaate Fobister,b. ?,Canadian,playwright,Agokwe,[173]
Michael Thomas Ford,b. 1968,American,"novelist, non-fiction","Alec Baldwin Doesn't Love Me, That's Mr. Faggot to You",[174]
E. M. Forster,1879–1970,English,novelist,"Maurice, A Passage to India, A Room With A View, Howards End",[175]
Guy Mark Foster,b. ?,American,short stories,The Rest of Us,[176]
Marion Foster,1924-1997,Canadian,mysteries,"The Monarchs Are Flying, Legal Tender",[151]
Michel Foucault,1926–1984,French,philosopher,L'Histoire de la sexualité,[9]
Brian Francis,b. 1971,Canadian,novelist,Fruit,[177]
Judith Frank,b. ?,American,"novelist, short stories","Crybaby Butch, All I Love and Know",[178]
Brad Fraser,b. 1959,Canadian,playwright,"Unidentified Human Remains and the True Nature of Love, Poor Super Man",[6]
Mary Eleanor Wilkins Freeman,1852-1930,American,"novelist, short story writer, poet",A New England Nun,[9]
Alice French,1850–1934,American,writer,Expiation,[9]
Ladislav Fuks,1923-1994,Czech,novelist,The Cremator,[179]
Janine Fuller,b. 1958,Canadian,non-fiction,"Restricted Entry: Censorship on Trial, Forbidden Passages: Writings Banned in Canada",[180]
Wes Funk,1969-2015,Canadian,novelist,"Dead Rock Stars, Cherry Blossoms",[181]
Patrick Gale,b. 1962,British,novelist,Rough Music,[182]
Federico García Lorca,1898–1936,Spanish,poet and playwright,Poeta en Nueva York,[9]
Magali García Ramis,b. 1946,Puerto Rican,"novelist, essayist","Happy Days, Uncle Sergio",[8]
Gustavo Alvarez Gardeazabal,b.1945,Colombian,"novelist, columnist",Dabeiba,
Nancy Garden,b. 1938,American,novelist,Annie on My Mind,[183]
Ken Garnhum,b. ?,Canadian,playwright,Pants on Fire,[184]
C. E. Gatchalian,b. 1974,Canadian,playwright,Motifs & Repetitions,[185]
Daniel Gawthrop,b. 1963,Canadian,"journalist, biographer","Affirmation: The AIDS Odyssey of Dr. Peter, The Rice Queen Diaries, The Trial of Pope Benedict",[186]
Jean Genet,1910–1986,French,"novelist, playwright, poet",Our Lady of the Flowers,[9]
Stefan George,1868–1933,German,poet,Main person of the literary and academic group known as the George-Kreis,[9]
Hyeong-do Gi,1960–1989,Korean,poet,Black Leaf in My Mouth,[187]
André Gide,1869–1951,French,novelist,The Immoralist,[9]
Sky Gilbert,b. 1952,Canadian,playwright,Co-founder and artistic director of Buddies in Bad Times,[6]
John Gilgun,b. 1935,American,"novelist, poet, short stories",Music I Never Dreamed Of,[188]
Allen Ginsberg,1926–1997,American,poet,Howl,[9]
M-E Girard,b. ?,Canadian,young adult literature,Girl Mans Up,[189]
John Glassco,1909-1981,Canadian,poet,Memoirs of Montparnasse,[6][18]
Connie Glynn,b. 1994,British,young adult literature,The Rosewood Chronicles,[190][191]
Nikolai Gogol,1809–1852,Ukrainian,"novelist, playwright",Evenings on a Farm Near Dikanka,[9]
Michael Golding,b. ?,American,"novelist, screenwriter","A Poet of the Invisible World, Silk",[192]
Andrea Goldsmith,b. 1950,Australian,novelist,The Prosperous Thief,[193]
Agustín Gómez-Arcos,1933-1998,Spanish,"novelist, playwright","L'Agneau carnivore, Ana non",[194]
Ibis Gómez-Vega,b. 1952,Cuban,"novelist, playwright",Send My Roots Rain,[195]
Rigoberto González,b. 1970,"American, Chicano","poet, memoirist, critic","Butterfly Boy: Memories of a Chicano Mariposa, Antonio's Card, Unpeopled Eden, What Drowns the Flowers in Your Mouth",[196]
Brad Gooch,b. 1952,American,"poet, essayist, biographer",Jailbait and Other Stories,[39]
Paul Goodman,1911–1972,American,poet,"Growing Up Absurd, The Community of Scholars,",[9]
Daphne Gottlieb,b. 1968,American,"poet, fiction, nonfiction, graphic novel",Final Girl,[197]
Juan Goytisolo,b. 1931,Spanish,"poet, essayist, novelist",Count Julian,[9]
Judy Grahn,b. 1940,American,poet,Love Belongs to Those Who Do the Feeling (poetry collection),[9]
Camarin Grae,b. 1941,American,science fiction,"The Secret in the Bird, Slick, Stranded",[198]
R. W. Gray,b. ?,Canadian,"short stories, novelist, poet","Crisp, Entropic",[199]
Thomas Gray,1716–1771,English,poet,"Elegy Written in a Country Churchyard,",[9]
Nick Green,b. ?,Canadian,playwright,Body Politic,[200]
Harlan Greene,b. ?,American,"novelist, historian","What the Dead Remember, The German Officer's Boy",[201]
Garth Greenwell,b. 1978,American,novelist,What Belongs to You,[202]
Robert Joseph Greene,b. 1973,Canadian,short story writer,"The Gay Icon Classics of the World, This High School Has Closets",[203]
