name,bio
Nisa Donnelly,"Nisa Donnelly (November 11, 1950-January 30, 2021) was an  writer. She was most noted for her 1989 novel The Bar Stories: A Novel After All, which won the  at the  in 1990.
"
Emma Donoghue,"
"
José Donoso,"
"
John Donovan,"John Donovan (1928 - April 29, 1992) was an  writer of . He is best known for his 1969 novel , the first known young adult novel to directly address the subject of .
"
H.D.,"
"
Fernand Dorais,"
"
Mark Doty,"
"
Lord Alfred Douglas,"
"
Norman Douglas,"
"
Brian Drader,"Brian Drader (born 1960) is a  stage actor and playwright. He is best known for his plays Prok, about  and , and The Fruit Machine, about the 's controversial 1960s  project to identify  people.
"
Neal Drinnan,"
"
Daphne du Maurier,"
"
Peter Dubé,"Peter Dubé is a Canadian writer, who has published novels, short stories and essays. Originally from Montreal, he earned an MA from 's Creative Writing Program.
"
René-Daniel Dubois,"René-Daniel Dubois (born July 20, 1955 in ) is a  playwright and actor.
"
Carol Ann Duffy,"
"
Maureen Duffy,"
"
Stella Duffy,"
"
Robert Duncan,"Robert Edward Duncan (January 7, 1919 – February 3, 1988) was an  poet and a devotee of  and the  who spent most of his career in and around . Though associated with any number of literary traditions and schools, Duncan is often identified with the poets of the  and . Duncan saw his work as emerging especially from the tradition of ,  and . Duncan was a key figure in the .
"
Warren Dunford,"Warren Dunford (born 1963) is a  writer, who published three comedic mystery novels in the 1990s and 2000s. All three novels centred on Mitchell Draper, a  aspiring screenwriter and amateur detective plunged into unusual criminal investigations in the film industries of both  and .
"
Paul Dunn,"Paul Dunn is a  playwright and actor. He is most noted as co-creator with  and  of The Gay Heritage Project, a theatrical show dramatizing aspects of  history which was shortlisted for the  in 2014,
"
Kristyn Dunnion,"Kristyn Dunnion (born August 6, 1969, in ) is a Canadian fiction writer and performance artist. She has published four novels and a short story collection to date. Her short fiction appears in literary journals, including Grain Magazine, The Tahoma Literary Review, and Cosmonauts Avenue, as well as in several anthologies. Dunnion is the 2015 Machigonne Fiction prize winner for the short story, ""Last Call at the Dogwater Inn,"" published in The New Guard Volume V. For several years she performed  shows under the name Miss Kitty Galore, and was the bassist in the all-female  band Heavy Filth (2008-2011). She currently plays bass in the Toronto-based rock band Bone Donor. Her more recent literary work is aimed at an adult audience, but earlier writing was primarily intended for  readers. Her writing incorporates aspects of ,  and , although she has also published several stories in anthologies of adult .
"
Larry Duplechan,"Larry Duplechan (born December 30, 1956 in ) is an  novelist. He is best known for his novels Blackbird,  by  as a film starring  and , and Got 'til It's Gone, which won an award in the Gay Romance category at the .
"
Elana Dykewomon,"Elana Dykewomon (born Elana Nachman, October 11, 1949) is a  activist, author, editor and teacher. She is a recipient of the  for Lesbian Fiction.
"
Jim Egan,"James Egan (1921 – March 9, 2000) was a  LGBT rights activist, best known for his role in the landmark  case . He is considered Canada's first prominent LGBTQ activist, due to his initial period of activism from 1949 to 1964.
"
Bret Easton Ellis,"
"
Guy Édoin,"Guy Édoin is a  film director and screenwriter, whose debut full-length film  (Marécages) was released in 2011.
"
Chike Frankie Edozien,"
"
Jorge Eduardo Eielson,"
"
Lars Eighner,"
"
Francesca Ekwuyasi,"Francesca Ekwuyasi is a  writer and artist. She is most noted for her debut novel Butter Honey Pig Bread, which was published in 2020.
"
Deborah Ellis,"Deborah Ellis   (born August 7, 1960) is a Canadian fiction-writer and activist. Her themes are often concerned with the sufferings of persecuted children in the Third World.
"
Sarah Ellis,"Sarah Ellis (born 19 May 1952) is a Canadian children's writer and librarian. She was born in , British Columbia, and attended the  where she received her  honours in 1973 and a Master of Library Science in 1975. She also attended the Centre for the Study of Children's Literature, Simmons College in  in 1980. She has been a librarian in  and Vancouver. She has also written reviews for . She teaches writing at the Vermont College of Fine Arts and is a masthead reviewer for The Hornbook.
"
T. S. Eliot,"
"
Gloria Escomel,"Gloria Escomel (born October 15, 1941 in , Uruguay) is a Canadian writer. She first moved from Uruguay to France in 1960 to study literature at the , later moving to Canada to pursue her doctorate at the .
"
Michael Estok,"Michael John Estok (1939–1989) was a  poet. He was best known for his posthumous collection A Plague Year Journal, considered one of the crucial works of  literature in Canada.
"
Evan Fallenberg,"Evan Fallenberg (born August 8, 1961 in , ) is an -born writer and translator residing in . His debut novel Light Fell, published in 2008, won the  and the , and was a shortlisted  nominee for Gay Debut Fiction at the . His second novel, When We Danced on Water, was published in 2011 by HarperPerennial, and his third, The Parting Gift, by Other Press in 2018. He has also published English translations of several Israeli writers, including , ,  and .
"
Sara Farizan,"
"
David B. Feinberg,"David Barish Feinberg (November 25, 1956 – November 2, 1994) was an American writer and  activist.
"
Leslie Feinberg,"
"
Joshua M. Ferguson,"Luna Ferguson is a Canadian filmmaker and LGBTQ activist. Ferguson uses the pronouns they/them.
"
Anderson Ferrell,"Anderson Ferrell is an  . He was the winner of a 1996  for his novel Home for a Day.
"
Robert Ferro,"Robert Ferro (October 21, 1941 – July 11, 1988) was an American  whose semi-autobiographical fiction explored the uneasy integration of  and traditional  values.
"
Hubert Fichte,"
"
Edward Field,"
Edward Field (born June 7, 1924) is an American poet and author.
"
Harvey Fierstein,"Harvey Forbes Fierstein ( ; born June 6, 1954) is an American actor and playwright. He is best known for his theater work in  and  and movie roles in , , and as the voice of Yao in  and . Fierstein won two Tony Awards,  and , for . He received his third Tony Award, , for the musical  and his fourth, the , for playing Edna Turnblad in . Fierstein also wrote the book for the -winning musical , , and . He was inducted into the  in 2007.
"
Connie Fife,"Connie Fife (1961-2017) was a   poet and editor. She published three books of poetry, and edited several anthologies of  women's writing. Her work appeared in numerous other anthologies and literary magazines.
"
Timothy Findley,"
"
Lois Fine,"Lois Fine is a  playwright. She is most noted for her play Freda and Jem's Best of the Week, which premiered at  in 2014 and garnered a  nomination in the  category at the  in 2017.
"
Larry Fineberg,"Larry Fineberg (born 1945 in , ) is a  playwright. He is most noted for his 1976 play Eve, an adaptation of 's novel The Book of Eve which won the .
"
Ronald Firbank,"
"
Diane Flacks,"
"
Janet Flanner,"
"
Lisa Foad,"Lisa Foad is a  short story writer and journalist. Her debut collection, The Night Is a Mouth, won the 2009  for short fiction, as well as an Honour of Distinction citation from the 's 2010   for an emerging  writer.
"
Waawaate Fobister,"Waawaate Fobister () is a  , , , , instructor, producer and storyteller, best known for their semi-autobiographical , Agokwe.
"
Michael Thomas Ford,"Michael Thomas Ford (born October 1, 1968) is an American  of primarily -themed literature. He is best known for his ""My Queer Life"" series of humorous essay collections and for his award-winning novels Last Summer, Looking for It, Full Circle, Changing Tides and What We Remember.
"
E. M. Forster,"
"
Guy Mark Foster,"Guy Mark Foster is an  writer and academic. His short story collection The Rest of Us was a finalist for the  for  at the  in 2014.
"
Marion Foster,"Marion Foster was the pen name of Shirley Shea (September 3, 1924 – June 30, 1997), a  broadcaster and mystery novelist.
"
Michel Foucault,"
"
Brian Francis,"Brian Francis (born 1971) is a Canadian writer. His 2004 novel Fruit was selected for inclusion in the 2009 edition of , where it was championed by novelist and  personality . It finished the competition as the runner-up, making the last vote against the eventual winner, 's .
"
Judith Frank,"Judith Frank is an American writer and professor. She has been a two-time  nominee, winning in the Lesbian Debut Fiction category at the  in 2005 for her novel Crybaby Butch, and being a shortlisted nominee in the  category at the  in 2015 for All I Love and Know. She is Jewish.
"
Brad Fraser,"Brad Fraser (born June 28, 1959 in , ) is a Canadian ,  and cultural commentator. He is one of the most widely produced Canadian playwrights both in Canada and internationally. His plays typically feature a harsh yet comical view of contemporary life in Canada, including frank depictions of , drug use and violence.
"
Mary Eleanor Wilkins Freeman,"
"
Alice French,"Alice French (March 19, 1850 – January 9, 1934), better known as Octave Thanet, was an American  and short fiction writer.
"
Ladislav Fuks,"Ladislav Fuks (September 24, 1923 in  – August 19, 1994 in Prague) was a  novelist. He focused mainly on psychological novels, portraying the despair and suffering of people under .
"
Janine Fuller,"Janine Fuller (born 1958) is a  businessperson and writer. She is the manager of  in , , and is best known for her role as an anti- activist in the bookstore's ongoing battles with , which culminated in the  case  in 2000.
"
Wes Funk,"Wes Funk (February 18, 1969 – October 9, 2015) was a Canadian writer. Based in , , he published several novels and a  of poetry and short stories, and hosted a weekly television series, Lit Happens, on 's services in Saskatchewan.
"
Patrick Gale,"
Patrick Evelyn Hugh Sadler Gale (born 31 January 1962) is a British novelist.
"
Federico García Lorca,"
"
Magali García Ramis,"Magali García Ramis (born 1946, ) is a  writer.
"
Gustavo Alvarez Gardeazabal,"
"
Nancy Garden,"Nancy Garden (May 15, 1938 – June 23, 2014) was an  writer of fiction for children and young adults, best known for the  . She received the 2003 Margaret Edwards Award from the  recognizing her lifetime contribution in writing for teens, citing Annie alone.
"
Ken Garnhum,"Ken Garnhum is a  playwright, performance artist and theatrical designer. He is most noted for his performance piece Beuys, Buoys, Boys, which was a shortlisted finalist for the  in 1989, and his play Pants on Fire, which won the  in 1995.
"
C. E. Gatchalian,"C.E. ""Chris"" Gatchalian (born June 5, 1974) is a Canadian  who writes in multiple genres. Born in ,  to Filipino parents, he holds an  in Creative Writing and Theatre from the . His play Motifs & Repetitions aired on  (Canada) in 1997 and on the  in 1998. His other produced plays include Claire, Crossing, Broken and People Like Vince, a play for young audiences about mental health. His latest play, Falling in Time, had its world premiere in Vancouver in November 2011 and was published by Scirocco Drama in 2012. In 2013 he won the , a prize presented by the  to an openly LGBT writer. In 2019 his  Double Melancholy: Art, Beauty, and the Making of a Brown Queer Man was published by .
"
Daniel Gawthrop,"Daniel Gawthrop (born 1963 in , ) is a  writer and editor. He is the author of five books, most recently The Trial of Pope Benedict and The Rice Queen Diaries. As a journalist he was the original publisher and editor of  in , and has also contributed to publications including the , , , ,  and .  He now works as a communications representative for the .
"
Jean Genet,"
"
Stefan George,"Stefan Anton George (German: ; 12 July 1868 – 4 December 1933) was a German   and a translator of , , , and . He is also known for his role as leader of the highly influential literary group called the  and for founding the   [] (""Journal for the Arts"").
"
Hyeong-do Gi,"Ki Hyongdo  (The romanization preferred by the author according to LTI Korea) was a modern Korean poet. His posthumously-published collection of poems  (입 속의 검은 잎) has gone through more than 65 printings in the two decades since his death.
"
André Gide,"
"
Sky Gilbert,"Schuyler Lee (Sky) Gilbert Jr. (born December 20, 1952) is a  writer, actor, academic and . Born in , he studied theatre at  in , and at the , before becoming the co-founder and artistic director of , a Toronto  company dedicated to  drama. His  name is Jane. Gilbert also teaches a course on playwrighting at the University of Guelph.
"
John Gilgun,"John Gilgun (born October 1, 1935 in , ) is an  writer. He is best known for his 1989 novel Music I Never Dreamed Of, which was a shortlisted nominee for the  at the  in 1990.
"
Allen Ginsberg,"
"
M-E Girard,"M-E Girard is a  writer whose debut young adult novel  was published in 2016.
"
John Glassco,"John Glassco (December 15, 1909 – January 29, 1981) was a , memoirist and novelist. According to Stephen Scobie, ""Glassco will be remembered for his brilliant autobiography, his elegant, classical poems, and for his translations."" He is also remembered by some for his .
"
Connie Glynn,"
"
Nikolai Gogol,"
"
Michael Golding,"Michael Golding is an  novelist. He is most noted for his 2015 novel A Poet of the Invisible World, which won the  and was a shortlisted finalist for the  in 2016.
"
Andrea Goldsmith,"Andrea Goldsmith (born 1950) is an Australian  and .
"
Agustín Gómez-Arcos,"
"
Ibis Gómez-Vega,"
"
Rigoberto González,"Rigoberto González (born July 18, 1970) is an American writer and book critic. He is an editor and author of poetry, fiction, nonfiction, and bilingual children's books, and self-identifies in his writing as a gay . His most recent project is The Book of Ruin, a poetry collection. His memoir What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood was a finalist for the  Award in Autobiography. He is the 2015 recipient of the Bill Whitehead Award for Lifetime Achievement from the Publishing Triangle, and the 2020 recipient of the .
"
Brad Gooch,"Brad Gooch (born 1952) is an American writer.
"
Paul Goodman,"
"
Daphne Gottlieb,"Daphne Gottlieb is a -based performance .
"
Juan Goytisolo,"For decades, my name was more popular in police stations than bookshops, and I do not mean to compliment the literary awareness of Spanish policemen.
"
Judy Grahn,"
"
Camarin Grae,"Camarin Grae is the pen name of Marian Grace (born 1941), an  writer of -themed science fiction. She has been a three-time  nominee: The Secret in the Bird was a  nominee at the  in 1989, Slick was a nominee for Lesbian Mystery at the  in 1991, and Stranded was nominated for  at the  in 1992.
"
R. W. Gray,"Robert (R. W.) Gray is a  writer, filmmaker and academic.
"
Thomas Gray,"
"
Nick Green,"Nick Green is a  actor and playwright. He won the  in 2017 for his play Body Politic, a dramatization of the history of the Canadian  newsmagazine .
"
Harlan Greene,"Harlan Greene (born June 19, 1953) is an American writer and historian. He has published both fiction and non-fiction works. He won the  for  for his 1991 novel What the Dead Remember.
"
Garth Greenwell,"Garth Greenwell (born March 19, 1978) is an American novelist, poet, literary critic, and educator. He has published the novella Mitko (2011) and the novels What Belongs to You (2016) and Cleanness (2020). He has also published stories in  and A Public Space and writes criticism for  and .
"
Robert Joseph Greene,"
"
Matthew Griffin,"Matthew Griffin is an  writer. His debut novel Hide won the Crook's Corner Book Prize in 2017, and was a shortlisted nominee for the  at the .
"
Doris Grumbach,"Doris M. Grumbach (born July 12, 1918) is an American novelist, memoirist, biographer, literary critic, and essayist. She taught at the  in , the , and  in , and was literary editor of  for several years. She has published many novels highlighting and focusing on gay and lesbian characters. For two decades, she and her partner, Sybil Pike, operated a bookstore, Wayward Books, in . She  in July 2018.
"
Hervé Guibert,"
"
Thom Gunn,"
"
Samra Habib,"
"
Saleem Haddad,"Saleem Haddad (born 1983) is an author, filmmaker and aid worker of Iraqi-German and Palestinian-Lebanese descent, whose debut novel Guapa was published in 2016.
"
Radclyffe Hall,"
"
Richard Hall,"Richard Hall (November 26, 1926 – October 29, 1992), sometimes credited as Richard Walter Hall, was an  novelist, playwright and short story writer.
"
Aaron Hamburger,"Aaron Hamburger (born 1973) is an American  best known for his short story collection  (2004) and novels  (2005) and  (2019).
"
Jane Eaton Hamilton,"Eaton Hamilton  (born July 19, 1954) is a  short story writer, novelist, essayist and poet, who goes by ""Hamilton"", 2021 legal name “Eaton Hamilton"" and uses they/their pronouns.
"
Dena Hankins,"Dena Hankins (born 1975) is an American novelist and short story author, best known for queer and transgender erotic romance. Her short stories have been published in several erotica anthologies, including Best Lesbian Romance of the Year 2015 edited by .
"
Bretten Hannam,"Bretten Hannam is a  screenwriter and film director. They are most noted for their 2015 feature film debut , which premiered at the  in 2015 before going into limited commercial release in 2018.
"
Joseph Hansen,"Joseph Hansen (July 19, 1923 – November 24, 2004) was an American  and , best known for a series of novels featuring private eye Dave Brandstetter.
"
Robin Hardy,"Robin Clarkson Hardy (July 12, 1952 – October 28, 1995) was a Canadian journalist and author.
"
Bertha Harris,"Bertha Harris (December 17, 1937 – May 22, 2005) was an American  . She is highly regarded by critics and admirers, but her  are less familiar to the broader public.
"
Michael Harris,"Michael Harris is a  author and journalist. His first book, The End of Absence: Reclaiming What We’ve Lost in a World of Constant Connection won the  at the . It was also long-listed for both the RBC Charles Taylor Prize and the B.C. National Nonfiction Award. The End of Absence is a reported memoir about living through a ""Gutenberg Moment."" It is a portrait of the last generation in history to remember life before the Internet. By describing the constant connectivity of contemporary life, Harris explores the idea that lack and absence are actually human virtues being stripped from us.
"
Adam Haslett,"Adam Haslett (born December 24, 1970) is an American fiction writer and journalist. His debut short story collection, You Are Not a Stranger Here, and his second novel, , were both finalists for both the  and the . He has been awarded fellowships from the , the , and the . In 2017, he won the .
"
Trebor Healey,"Trebor Healey is an American  and .  He was born in , raised in , and studied English and  at the .  He spent his twenties in San Francisco, where he was active in the  scene of the late 1980s and early 1990s, publishing five  of  as well as numerous poems and  in various , ,  and .
"
Scott Heim,"Scott Heim (born 1966) is an American  from , currently living in . Heim's first novel, Mysterious Skin, was published in 1995.
"
Essex Hemphill,"Essex Hemphill (April 16, 1957 – November 4, 1995) was an openly    and . He is known for his contributions to the  art scene in the 1980s, and for openly discussing the topics pertinent to the  gay community.
"
Philip Hensher,"
Philip Michael Hensher  (born 20 February 1965) is an English ,  and .
"
John Herbert,"John Herbert was the pen name of John Herbert Brundage (13 October 1926 – 22 June 2001), a  playwright, , and theatre director best known for his 1967 play .
"
Catherine Hernandez,"Catherine Hernandez is a Canadian writer, whose debut novel Scarborough was a shortlisted finalist for the 2017  and the 2018 .
"
Greg Herren,"Greg Herren is an American writer and editor, who publishes work in a variety of genres, including ,  and . He publishes work both as Greg Herren and under the pseudonym Todd Gregory.
"
Patricia Highsmith,"
"
Scott Hightower,"Scott Hightower, an  poet, teacher, and reviewer, is the author of five books of poetry. His third, Part of the Bargain, won the 2004 Hayden Carruth Award. He is also the recipient of a  for a translation from Spanish.
"
Tomson Highway,"Tomson Highway,  (born 6 December 1951, ) is an  , , and .  He is best known for his plays  and , both of which won the  and the .
"
Thorn Kief Hillsbery,"Thorn Kief Hillsbery is an American novelist. He is the author of  and , which was nominated for a . He was born in , and attended . He currently lives in , and teaches a creative writing workshop at .
"
Daryl Hine,"William Daryl Hine (February 24, 1936 – August 20, 2012) was a Canadian  and translator.  A  for the class of 1986, Hine was the editor of  from 1968 to 1978. He graduated from  in 1958 and then studied in Europe, as a  scholar.  He earned a  in  at the  (UC) in 1967.  During his career, Hine taught at UC, the , and .
"
Hippothales,"Lysis (; : Λύσις, genitive case Λύσιδος, showing the stem Λύσιδ-, from which the infrequent translation Lysides), is a dialogue of  which discusses the nature of  (φιλία), often translated as , while the word's original content was of a much larger and more intimate bond. It is generally classified as an .
"
Guy Hocquenghem,"Guy Hocquenghem (French: ; 10 December 1946 – 28 August 1988) was a French writer, philosopher, and .
"
Susan Holbrook,"Susan Holbrook is a  poet, whose collection Throaty Wipes was shortlisted for the  at the .
"
Andrew Holleran,"Andrew Holleran is the pseudonym of Eric Garber (born 1943), an American , , and  writer, born and partly raised in Aruba, in the Dutch Caribbean. He is a prominent novelist of post-  literature. He was a member of , a gay writer's group that met briefly from 1980-81. The Violet Quill included other prolific gay writers like  and .  Garber, who has historically been very protective of his privacy, uses ""Andrew Holleran"" as his .
"
Alan Hollinghurst,"
"
Ike Holter,"Ike Holter (born 1985) is an  playwright. He won a  for drama in 2017. Holter is a resident playwright at , and has been commissioned by The , ,  and .
"
Gerard Manley Hopkins,"
"
Horace,"
"
Leah Horlick,"Leah Horlick is a  poet, who won the  for  writers in 2016.
"
Silas House,"Silas Dwane House (born August 7, 1971) is an American writer best known for his . He is also a , , and . House's fiction is known for its attention to the natural world, working class characters, and the plight of the rural place and rural people.
"
Stephen Hough,"
Stephen Andrew Gill Hough, 
(; born 22 November 1961) is a British-born classical pianist, composer and writer.  He became an  in 2005 and thus has dual nationality (his father was born in Australia in 1926).
"
A. E. Housman,"
"
Richard Howard,"
Richard Joseph Howard (born October 13, 1929; adopted as Richard Joseph Orwitz) is an American poet, , essayist, teacher, and translator.  He was born in , Ohio, and is a graduate of , where he studied under , and where he is an emeritus professor.  He lives in New York City.
"
James Howe,"James Howe (born August 2, 1946) is an American children's writer with more than 79  and  books to his credit. He is known best for the  series  about a vampire rabbit that sucks the juice out of vegetables.
"
Tanya Huff,"
"
Langston Hughes,"
"
Jay Hulme,"
"
Bo Huston,"Bo Huston (1959–1993) was an  writer.
"
Joris-Karl Huysmans,"Charles-Marie-Georges Huysmans (: , French: ; 5 February 1848 – 12 May 1907) was a   and  who published his works as Joris-Karl Huysmans (pronounced , variably abbreviated as J. K. or J.-K.). He is most famous for the novel  (1884, published in English as Against the Grain or Against Nature). He supported himself by way of a 30-year career in the French civil service.
"
Maureen Hynes,"Maureen Hynes is a  poet.
"
John Ibbitson,"John Ibbitson (born 1955 in ) is a Canadian journalist. Since 1999 he has been a political writer and columnist for .
"
Nnanna Ikpo,"Nnanna Ikpo is a  writer. He is most noted for his 2017 novel Fimí Sílẹ̀ Forever, which was a shortlisted  finalist for  at the  in 2018.
"
George K. Ilsley,"George K. Ilsley (born 1958) is a  writer. He has published a collection of short stories, Random Acts of Hatred, which focuses on the lives of gay and bisexual men from childhood to early adulthood, and a novel, ManBug. His new memoir is The Home Stretch: A Father, a Son, and All the Things They Never Talk About (2020, Arsenal Pulp Press).
"
William Inge,"
"
Malcolm Ingram,"
"
Juana Inés de la Cruz,"Doña Inés de Asbaje y Ramírez de Santillana, better known as  Juana Inés de la Cruz  (12 November 1648 – 17 April 1695) was a  , ,  and  of the  period, and  . Her merit as a true master of the  gained her the nicknames of ""The Tenth Muse"" or ""The Phoenix of America"", for she was probably the most accomplished author of the entire history of the Spanish Americas, and a flame that rose from the ashes of ""religious authoritarianism"".
"
Christopher Isherwood,"
"
Arturo Islas,"Arturo Islas, Jr. (May 25, 1938 – February 15, 1991) was an English professor and novelist from , whose writing focused on the experience of Chicano cultural duality.
"
Harish Iyer,"
"
Tove Jansson,"
"
Derek Jarman,"
"
Alfred Jarry,"
"
Sarah Orne Jewett,"Theodora Sarah Orne Jewett (September 3, 1849 – June 24, 1909) was an American novelist, short story writer and poet, best known for her  works set along or near the southern coast of Maine.  Jewett is recognized as an important practitioner of .
"
Geraldine Jewsbury,"
"
Craig Johnson,"Craig Johnson is an  screenwriter and film director.
"
June Jordan,"June Millicent Jordan (July 9, 1936 – June 14, 2002) was an  poet, essayist, teacher, and activist. In her writing she explored issues of gender, race, immigration, and representation.
"
Konrad Juengling,"Konrad Anders Juengling (: Jüngling; born 1987) is an American  and writer. His activism focuses on equal rights for  people, , and supporting liberal politicians.  characterized Juengling's work as ""tech savvy queer activism.""
"
Amanda Junquera Butler,"
"
Claude Jutra,"Claude Jutra (French pronunciation: ​; March 11, 1930 – November 5, 1986) was a Canadian actor, film director, and screenwriter.
"
Karin Kallmaker,"Karin Kallmaker (born 1960) is an American author of  whose works also include those originally written under the name Laura Adams. Her writings span lesbian romance, lesbian erotica, and lesbian science-fiction/fantasy. Dubbed the Queen of Lesbian Romance, she publishes exclusively in the lesbian market as a matter of personal choice.
"
Christopher Kelly,"Christopher Kelly is an American writer, who won the  at the  in 2008 for his  .
"
Jonathan Kemp,"Jonathan Kemp (born 1967) is an English writer. He has published two novels, London Triptych and Ghosting, as well as one short-story collection, Twentysix, to date.
"
Randall Kenan,"
"
Nina Kennedy,"Nina Gamble Kennedy (born 1960) is an American classical pianist, orchestral conductor, filmmaker, and writer.
"
Maurice Kenny,"Maurice Frank Kenny (August 16, 1929 – April 16, 2016) was a poet with strong ties to the  people.
"
Jack Kerouac,"
"
Gary Kinsman,"
"
Heinrich von Kleist,"Bernd Heinrich Wilhelm von Kleist (18 October 1777 – 21 November 1811) was a German , , ,  writer and . His best known works are the theatre plays , , Amphitryon and , and the novellas  and . Kleist died by suicide together with a close female friend who was terminally ill.
"
Todd Klinck,"Todd Klinck is a Canadian writer, nightclub owner and  producer.
"
Tamai Kobayashi,"Tamai Kobayashi (born 1966 in Japan) is a  writer, who won the  for  writers in 2014.
"
Wayne Koestenbaum,"Wayne Koestenbaum (born 1958) is an  , , and . He received a B.A. from , an M.A. from the , and a Ph.D. from  and is a 1994  recipient. He received an American Academy of Arts and Letters Award in Literature in 2020. He has published over 20 books to date.
"
Bernard-Marie Koltès,"
"
Bill Konigsberg,"Bill Konigsberg is an American author, best known for his LGBT novels.  He wrote Out of the Pocket, , The Porcupine of Truth, Honestly Ben, and The Music of What Happens. He lives with his husband outside of .
"
Greg Kramer,"
"
Larry Kramer,"
"
Ellen Kushner,"Ellen Kushner (born October 6, 1955) is an  of . From 1996 until 2010, she was the host of the radio program , produced by  in  and distributed by .
"
Tony Kushner,"
"
Mikhail Kuzmin,"Mikhail Alekseevich Kuzmin (: Михаи́л Алексе́евич Кузми́н) (October 18 [ October 6] 1872 – March 1, 1936) was a Russian poet, musician and novelist, a prominent contributor to the .
"
Lydia Kwa,"Lydia Kwa (born 1959 in ) is a Canadian writer and psychologist.
"
Lawrence La Fountain-Stokes,"
"
Kama La Mackerel,"Kama La Mackerel is a - multidisciplinary artist, activist, translator, and community organizer who resides in , . Their artistic practice moves between theatre, dance, spoken word and written poetry, watercolours, photography, performance, sculpture and installation. Working across multiple disciplines, La Mackerel's work explores their identity as a trans femme of colour who reaches back beyond the immediate constraints of the colonial circumstances of their life to the spiritual ancestral lineages of queer femmes.
"
Richard Labonté,"Richard Labonté (born 1949) is a  writer and editor, best known as the editor or co-editor of numerous  of .
"
Edward A. Lacey,"Edward A. Lacey (1938-1995) was a  poet and translator, who was credited with publishing the first openly -identified collection of poetry in the history of .
"
Ben Ladouceur,"Ben Ladouceur (born 1987) is a Canadian writer, whose poetry collection Otter was a shortlisted nominee for the  for Gay Poetry at the  and won the  in 2016.
"
Jean-Luc Lagarce,"
"
Selma Lagerlöf,"Selma Ottilia Lovisa Lagerlöf (,  also , Swedish:  (); 20 November 1858 – 16 March 1940) was a Swedish author and teacher. She published her first novel, , at the age of 33. She was the first woman to win the , which she was awarded in 1909. Additionally, she was the first woman to be granted a membership in the  in 1914.
"
Lori L. Lake,"Lori L. Lake (born February 9, 1960) is an American writer of fiction, mainly about  protagonists. She is also an editor, instructor, publisher, and reviewer.
"
Kevin Lambert,"Kevin Lambert (born 1992) is a  writer from . He is most noted for his novel Querelle de Roberval, which won the  in 2019.
"
Michael Lannan,"Michael Lannan is an American screenwriter and producer. He is known as a creator and producer of the  series . The series, about a group of  friends in  inspired by Lannan's own life as a gay man, is based on Lorimer, a short film which Lannan produced and directed in 2011 and subsequently expanded into a feature film screenplay.
"
Benjamin Law,"
"
D. H. Lawrence,"
"
David Leavitt,"David Leavitt (; born June 23, 1961) is an American , short story writer, and biographer.
"
Violette Leduc,"
"
John Alan Lee,"John Alan Lee (August 24, 1933 - December 5, 2013) was a Canadian writer, academic and political activist, best known as an early advocate for  in Canada, for his academic research into sociological and psychological aspects of  and , and for his later-life advocacy of  and the .
"
Vernon Lee,"
"
Konstantin Leontiev,"Konstantin Nikolayevich Leontiev, :  (: Константи́н Никола́евич Лео́нтьев; January 25, 1831 in Kudinovo,  – November 24, 1891 in ) was a   and   Russian philosopher who advocated closer cultural ties between  and the East against what he believed to be the West's catastrophic ,  and revolutionary influences. He also advocated Russia's cultural and territorial expansion eastward to ,  and .
"
Robert Lepage,"Robert Lepage,   (born December 12, 1957) is a  playwright, actor, film director, and stage director.
"
Douglas LePan,"Douglas Valentine LePan   (25 May 1914 – 27 November 1998) was a Canadian diplomat, poet, novelist and professor of literature.
"
Alex Leslie,"Alex Leslie is a  writer, who won the  for  writers from the Writers Trust of Canada in 2015. Leslie's work has won a National Magazine Award, the CBC Literary Award for fiction, the Western Canadian Jewish Book Award and has been shortlisted for the BC Book Prize for fiction (the Ethel Wilson Prize) and the Kobzar Prize for contributions to Ukrainian Canadian culture, as one of the prize's only Jewish nominees.
"
David Levithan,"David Levithan (born September 7, 1972) is an American  author and editor.  His first book, , was published by  in 2003. He has written numerous works featuring strong male gay characters, most notably Boy Meets Boy and Naomi and Ely's No Kiss List.
"
Matthew G. Lewis,"
"
José Lezama Lima,"José Lezama Lima (December 19, 1910 – August 9, 1976) was a  writer and poet who is considered one of the most influential figures in .
"
Ali Liebegott," – Women's fiction 2008 The IHOP Papers 
 – Lesbian debut fiction 2006 The Beautifully Worthless 
"
Earl Lind,"
Jennie June was one of the earliest  individuals to publish an autobiography in the .
"
Eddie Linden,"Eddie Linden (born John Edward Glackin; 5 May 1935), also known as Eddie S. Linden, is a Scottish poet, literary magazine editor and political activist. From 1969 to 2004, he published and edited the poetry magazine Aquarius, which, according to , made him ""one of the leading figures on the international poetry scene"". The journal was significant in the growth of British, Irish and international poets, and has been described as Linden's ""crowning gift to literature — the nurturing and developing of poetic talent"".
"
Lynette Loeppky,"Lynette Loeppky is a  writer, who published the memoir Cease in 2015. The book, a memoir of her experience when her partner Cecile Kaysoe was diagnosed with terminal  at a time when Loeppky was dissatisfied with and considering leaving the relationship, was a shortlisted nominee for the  for Lesbian Memoir/Biography at the , the 's Wilfrid Eggleston Award for Nonfiction, and the .
"
Audre Lorde,"
"
