name,bio
Arcade Publishing,"Arcade Publishing is an independent trade publishing company that started in 1988 in New York, USA. It publishes American and world fiction and nonfiction.
"
Arcadia Publishing,"
"
Arkham House,"
"
Arktos Media,"Arktos Media is a publishing company known for publishing authors of the , as well as translating European far-right literature into English. Founded in India in 2009 by Swedish businessman  and John B. Morgan, an American editor, Arktos was launched in 2010, then relocated to Sweden in 2014 and Hungary in 2015. Friberg had previously distributed  and Nazi paraphernalia before starting the company. His stated goal was to create a Swedish  to American  media.
"
Armida Publications,"Armida Publications is an independent publishing house based in Nicosia, .
"
ArtScroll,"ArtScroll is an  of translations, books and commentaries from an  perspective published by Mesorah Publications, Ltd., a  based in , New Jersey.   is the general editor.
"
Ash-Tree Press,"Ash-Tree Press is a  company that publishes  and  literature.
"
Athabasca University Press,"Athabasca University Press (or AU Press) is a  and a division of . Since its 2007 founding, the Press has published over 120  books, which include titles in North American Western history, ,  and , and . AU Press has also published works of fiction, drama, poetry, and , both original and translated. A number of the Press's titles have garnered academic awards, in fields ranging from history and archaeology to creative non-fiction to distance education; other titles have been recognized for their design. AU Press also publishes websites with content that has scholarly parameters and standards, especially  on distance learning; and  in labour studies,  and Aboriginal Studies, , and the environment.
"
Atheneum Books,"Atheneum Books was a New York City  established in 1959 by , Simon Michael Bessie and .  has owned Atheneum properties since its acquisition of Macmillan in 1994 and it created Atheneum Books for Young Readers as an  for  in the 2000s.
"
Simon & Schuster,"
"
The Making of the President 1960,"The Making of the President 1960, written by journalist  and published by Atheneum Publishers in 1961, is a book that recounts and analyzes the  in which  was elected . The book won the 1962   and was the first in a series of books by White about . (The others are  (1965),  (1969), and
 (1973).)
"
Atlantic Books,"
"
Atlas Press,"Atlas Press began publishing in 1983, and specialises in extremist and avant-garde prose writing from the 1890s to the present day. It is the largest publisher in English of books on Surrealism and has an extensive list relating to , , , the , the ,  among others.
"
ATOM Books,"
"
Atria Publishing Group,"Atria Publishing Group is a general interest publisher and a division of . The publishing group launched as Atria Books in 2002. The Atria Publishing Group was later created internally at Simon & Schuster to house a number of imprints including Atria Books, Atria Trade Paperbacks, Atrai Books Espanol, Atria Unbound, Washington Square Press, Emily Bestler Books, Atria/Beyond Words, Cash Money Content, Howard Books, Marble Arch Press, Strebor Books, 37 Ink, Keywords Press and Enliven Books. Atria is also known for creating innovative imprints and co-publishing deals with African-American writers as well as known for experimenting with digital or non-traditional print formats and authors.
"
"Little, Brown","
"
Aunt Lute Books,"Aunt Lute Books is a   press whose mission is to ""publish literature by women whose voices have been traditionally under-represented in mainstream and small press publishing"" and ""distribute literature that expresses the true complexity of women’s lives and the possibilities for personal and social change."" The publisher has a stated aim to embrace the opportunity to work with and support first-time authors.
"
Austin Macauley Publishers,"Austin Macauley Publishers Limited is a  publishing company, with offices in ,  and . The company was founded in 2006 and publishes fiction and non-fiction books. It publishes new and established authors. The company publishes books in English and Arabic languages.
"
Avery Publishing,"Avery Publishing is a book publishing  of the , founded as an independent publisher in 1976 by Rudy Shur and partners, and purchased by Penguin in 1999. The current president is veteran publisher William Shinker. Their offices were located at one time in , home to other publisher's offices.
"
Penguin Group,"
"
Avon Publications,"Avon Publications is one of the leading publishers of . At Avon's initial stages, it was an American  and  publisher. The shift in content occurred in the early 1970s with multiple Avon romance titles reaching and maintaining spots in bestseller lists, demonstrating the market and potential profits in romance publication. As of 2010, Avon is an  of .
"
HarperCollins,"HarperCollins Publishers LLC is one of the  English-language publishing companies, alongside , , , and . The company is headquartered in New York City and is a subsidiary of . The name is a combination of several publishing firm names: , an American publishing company acquired in 1987—whose own name was the result of an earlier merger of  (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company  (founded in 1819), acquired in 1989.
"
Baen Books,"
"
Baker Publishing Group,"Baker Publishing Group is a Christian book publisher based in . It has six subdivisions: , Revell, Baker Books, Baker Academic, Chosen, and Brazos Press.
"
Ballantine Books,"Ballantine Books is a major book  located in the United States, founded in 1952 by  with his wife, . It was acquired by  in 1973, which in turn was acquired by  in 1998 and remains part of that company today. Ballantine's logo is a pair of mirrored letter Bs back to back. The firm's early editors were  and .
"
Banner of Truth Trust,"
"
Bantam Books,"Bantam Books is an American  owned entirely by parent company , a subsidiary of ; it is an imprint of the Random House Publishing Group. It was formed in 1945 by , Sidney B. Kramer, and  and , with funding from  and . It has since been purchased several times by companies including , 's  and, most recently, ; it became part of Random House in 1998, when Bertelsmann purchased it to form Bantam Doubleday Dell. It began as a mass market publisher, mostly of reprints of hardcover books, with some original paperbacks as well. It expanded into both trade paperback and hardcover books, including original works, often reprinted in house as mass-market editions.
"
Random House,"
"
Bantam Spectra,"
"
Bantam Books,"Bantam Books is an American  owned entirely by parent company , a subsidiary of ; it is an imprint of the Random House Publishing Group. It was formed in 1945 by , Sidney B. Kramer, and  and , with funding from  and . It has since been purchased several times by companies including , 's  and, most recently, ; it became part of Random House in 1998, when Bertelsmann purchased it to form Bantam Doubleday Dell. It began as a mass market publisher, mostly of reprints of hardcover books, with some original paperbacks as well. It expanded into both trade paperback and hardcover books, including original works, often reprinted in house as mass-market editions.
"
Barrie & Jenkins,"Barrie & Jenkins was a small British publishing house that was formed in 1964 from the merger of the companies Herbert Jenkins (founded by English writer ) and Barrie & Rockliff (whose managing director was Leopold Ullstein and whose editorial staff included John Bunting and John Pattison). Barrie & Rockcliff was itself the result of the merger in the 1950s of James Barrie Books, founded in 1947 by James Barrie whose great-uncle and godfather had been the playwright , and of the Rockliff Publishing Corporation, which was ""known for its theatre list"".
"
Basic Books,"Basic Books is a book publisher founded in 1950 and located in , now an  of . It publishes books in the fields of , , , , , , current affairs, and .
"
BBC Books,"
"
Belknap Press,"
"
Bella Books,"Bella Books is a  publisher of  based in .
"
Bellevue Literary Press,"Bellevue Literary Press (BLP) is an American publisher. It was founded in 2007 as a sister organization of , located at  in New York City. It became an independent nonprofit in 2018.
"
Bendon Publishing International,"Bendon is an American publisher of .
"
Berg Publishers,"Berg Publishers was an  company based in ,  and  that was founded in 1983 by . Berg published , , and  as well as . Concentrations were , , , , and . Shortly after Marion's husband, the historian  accepted a chair at  in 1988, operations in Providence began.
"
Bloomsbury Publishing,"
"
Berkley Books,"
"
imprint,"An imprint of a  is a  under which it publishes a work. A single  may have multiple imprints, often using the different names as  to  works to various  .
"
Bison Books,"The University of Nebraska Press, also known as UNP, was founded in 1941 and is an  of  and general-interest books. The press is under the auspices of the , the main campus of the . UNP publishes primarily  books and , in both print and electronic editions. The press has particularly strong publishing programs in , , sports, world and national affairs, and military history. The press has also been active in reprinting classic books from various genres, including  and .
"
Black Dog Publishing,"Black Dog Publishing was a British  specialising in illustrated  books on contemporary culture. Topics covered by Black Dog include , , , , , , ,  and . 
"
Black Ink Collective,"Black Ink Collective was a British publishing company founded in 1978 to publish the work of young Black writers in the UK. 
"
Black Library,"The Black Library is a division of  (formerly a part of ) which is devoted to publishing  and  (and has previously produced art books, background books, and ) set in the ,  and  . Some of Black Library's best known titles include the  and  series of novels by  and the  series by  and .
"
Black Sparrow Press,"Black Sparrow Press is a  based independent book publisher, known for literary fiction and poetry.
"
Black & White Publishing,"
"
Blackie and Son,"
"
Blackstaff Press,"
"
Blackwell Publishing,"
"
Blake Publishing,"
"
Bloodaxe Books,"Bloodaxe Books is a   specializing in .
"
Bloomsbury Publishing,"
"
Blue Ribbon Books,"Doubleday is an American publishing company. It was founded as the Doubleday & McClure Company in 1897 and was the largest in the United States by 1947. It published the work of mostly U.S. authors under a number of imprints and distributed them through its own stores. In 2009 Doubleday merged with Knopf Publishing Group to form the Knopf Doubleday Publishing Group, which is now part of . In 2019, the official website presents Doubleday as an , not a publisher.
"
Bobbs-Merrill Company,"The Bobbs-Merrill Company was a book  located in , .
"
Howard W. Sams Company,"Sams Publishing is dedicated to the publishing of technical training manuals and is an imprint of , the global publishing and education company.
"
Bogle-L'Ouverture Publications,"
"
Book League of America,"The Book League of America, Inc. was a   and  . It was established in 1930, a few years after the  Club. Its founder was , previously an editor at . The company was located at 100 , ,  in a 240,000-square-foot (22,000 m2) office building that was constructed in 1906. It  and   a variety of volumes in the 1920s, 1930s, 1940s, and 1950s. A victim of the , the Book League of America was purchased by  in 1936.
"
Book Works,"Book Works is a -based  of books on contemporary , and print studio specialising in ,  printing, boxmaking, and . Established in 1984, it has ""the mission to disseminate visual art practice to as wide and diverse an audience as possible."" It is a publicly funded organisation and a registered charity (registered number 1104148), its supporters including  and .
"
Booktrope,"Booktrope (founded 2010, ceased operations 2016) was a Seattle-based hybrid publisher which specialized in community-based team publishing. Applying a ""team publishing"" model, under which authors, editors, designers and marketing managers shared revenue, the company published approximately 1000 books in print and ebook formats. It ceased operations as of May 31, 2016.
"
Borgo Press,"The Borgo Press was a small publishing company founded by  in 1975 funded by the royalties gained from his first major reference work,[] Stella Nova: the contemporary science fiction authors (1970).
"
Wildside Press,"Wildside Press is an independent  company in , United States. It was founded in 1989 by  and . While the press was originally conceived as a publisher of  in both  and , its focus has broadened since then, both in content and format.
"
Boundless,"Boundless was an  company, founded in 2011, which created free and low-cost  and distributed them online. In April 2015, it was acquired by . The combined company is based in , .
"
Bowes & Bowes,"Bowes & Bowes was a bookselling and publishing company based in , . It was established by  (1835–1919), a nephew of  (1813–1857) — the founder, with his brother , in 1843, of a firm which by 1850 was a thriving bookshop with the official name ‘’ The same bookshop was eventually owned by Alexander Macmillan in partnership with Robert Bowes. The company became known as ‘Bowes & Bowes’ only in 1907, George Brimley Bowes (1874-1946, Robert Bowes’ son) having become  a partner in the business in 1899.  The firm continued as a family business until 1953 when it was acquired by , who continued to operate it under the original name until 1986. In that year the business’s name was changed to Sherratt & Hughes.
"
Boydell & Brewer,"
"
Broadside Lotus Press,"
"
Breslov Research Institute,"Breslov Research Institute is a  of classic and contemporary  texts in . Established in 1979, BRI has produced the first English translation of all the works of Rebbe  (1772–1810) and selected works of  (1780–1844), the Rebbe's closest disciple; studies of the Rebbe's teachings on individual subjects; contemporary Breslov ; and  which apply Rebbe Nachman's teachings to daily life. BRI currently has over 100 titles in print, many of which it has also translated into , ,  and . BRI maintains offices in  and .
"
Brill Publishers,"
"
Brimstone Press,"Brimstone Press was an   of dark fiction ( and ). Brimstone Press was established in 2004 by  and  and was based in .
"
Broadview Press,"Broadview Press is an independent academic publisher that focuses on the humanities. Founded in 1985 by , the company now employs over 30 people, has over 800 titles in print, and publishes approximately 40 titles each year. Broadview's offices are located across  in , , ,  and .
"
Burns & Oates,"Burns & Oates was a British  publishing house which most recently existed as an imprint of . 
"
Continuum International Publishing Group,"
"
Butterworth-Heinemann,"
"
Elsevier,"
"
Caister Academic Press,"Caister Academic Press is an independent  company that produces books and ebooks on  and . The address for the editorial offices is in , UK with worldwide sales and distribution through the . Published books include review volumes, practical manuals and reference texts aimed at the post-graduate, research and professional market.
"
Cambridge University Press,"
"
Canadian Science Publishing,"Canadian Science Publishing (CSP) is Canada's largest publisher of international scientific journals. It started in 1929 as the NRC Research Press, part of the  (NCR). In 2010, the organization spun off from NRC and was incorporated as a not-for-profit.  
"
Candlewick Press,"Candlewick Press, established in 1992 and located in , is part of the  group. The logo depicting a bear carrying a candle is based on Walker Books's . 
"
Canongate Books,"
"
Capstone Publishers,"Capstone is a publisher of children’s books and digital products. Capstone focuses on the educational market. They also sell to the trade market and internationally. Capstone publishes , , picture books, interactive books, , literacy programs, and digital media. Imprints and divisions include Capstone Press, Compass Point Books, Picture Window Books, Stone Arch Books, Red Brick Learning, Capstone Digital, Heinemann-Raintree and Switch Press. Capstone acquired the assets of Heinemann-Raintree library reference from  in 2008. Heinemann-Raintree has offices in  and . Capstone is based in , with additional offices in , Chicago, and Oxford. Capstone is part of Coughlan Companies, Inc. Coughlan Companies also includes Jordan Sands, a  quarry, and fabrication facility.
"
Carcanet Press,"Carcanet Press is a publisher, primarily of poetry, based in the  and founded in 1969 by .
"
Carlton Publishing Group,"Welbeck Publishing Group, formerly Carlton Publishing Group, is a London-based independent book publisher of fiction, narrative and illustrated non-fiction, as well as gift and children's books. Established in 2019 by Executive Directors Mark Smith and Marcus Leaver, the business specialises in commercial publishing in 30 languages and in more than 60 countries around the world, across all genres and categories.
"
Carnegie Mellon University Press,"Carnegie Mellon University Press is a publisher that is part of  in , , .
"
Casemate Publishers,"Casemate Publishers, also known as Casemate, is a Philadelphia-based publishing company that specializes in producing printed military history books. They have published over 300 books on military history. Many of their books are  and historical overviews of specific military events. They also distribute books for other publishing companies and market their products to enthusiasts, hobbyists, students, instructors, and researchers of military history, as well as members of the armed forces and military organizations.
"
Cassava Republic Press,"
"
Cassell,"Orion Publishing Group Ltd. is a -based  . It was founded in 1991 and acquired  the following year. The group has published numerous bestselling books by notable authors including , ,  and .  
"
Cengage,"
"
Central European University Press,"
"
Century,"
"
Random House,"
"
Chambers,"
"
Charles Scribner's Sons,"
"
Chatto & Windus,"
"
Chick Publications,"
"
Chronicle Books,"Chronicle Books is a -based American  of books for adults and children.
"
Churchill Livingstone,"Churchill Livingstone is an . 
"
Elsevier,"
"
Cisco Press,"Cisco Press is a publishing alliance between  and Pearson, the world's largest education publishing and technology company which is part of Pearson PLC, the global publisher and co-owner (47%) of  and formerly .  Cisco Press distributes its titles through traditional resellers as well as through the  e-reference service. Cisco Press is the Cisco Systems authorized book publisher of Cisco networking technology, Cisco certification self-study, and Cisco Networking Academy Program materials. Leading authorities from Cisco Systems and other industry innovators write and contribute to the various titles and series that make up the Cisco Press product family. Products from Cisco Press are part of a recommended learning path from Cisco Systems that combines instructor-led training with hands-on instruction, e-learning, and self-study.
"
City Lights Publishers,"City Lights is an - combination in , , that specializes in , the arts, and . It also houses the  City Lights Foundation, which publishes selected titles related to San Francisco culture. It was founded in 1953 by poet  and  (who left two years later). Both the store and the publishers became widely known following the obscenity trial of Ferlinghetti for publishing 's influential collection  (City Lights, 1956).  started working there in 1971 and retired as executive director in 2007. In 2001, City Lights was made an official historic landmark. City Lights is located at 261 Columbus Avenue. While formally located in , it self-identifies as part of immediately adjacent .
"
Cloverdale Corporation,"Cloverdale Corporation has for 29 years been involved in publishing scholarly research for the scientific community. Under its publishing imprint, Wyndham Hall Press, the Cloverdale Corporation published the Rhodes-Fulbright International Library for twenty years and added some 600 scholarly titles in the social, behavioral, and physical sciences during that time.
"
Cold Spring Harbor Laboratory Press,"Cold Spring Harbor Laboratory Press was founded in 1933 to aid in  purpose of furthering the advance and spread of scientific knowledge.
"
Collector's Guide Publishing,"Collector's Guide Publishing (CGP) is a Canadian publisher based in , Canada. 
"
Collins,"HarperCollins Publishers LLC is one of the  English-language publishing companies, alongside , , , and . The company is headquartered in New York City and is a subsidiary of . The name is a combination of several publishing firm names: , an American publishing company acquired in 1987—whose own name was the result of an earlier merger of  (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company  (founded in 1819), acquired in 1989.
"
Columbia University Press,"Columbia University Press is a  based in , and affiliated with . It is currently directed by Jennifer Crewe (2014–present) and publishes titles in the  and , including the fields of literary and cultural studies, , , , , , and .
"
Concordia Publishing House,"
"
Constable & Co Ltd,"
"
Constable & Robinson,"
"
Continuum International Publishing Group,"
"
Copper Canyon Press,"Copper Canyon Press is an ,  , specializing in the publication of  and located in Port Townsend, Washington. Since 1972, the Press has published poetry exclusively.
"
Cork University Press,"Cork University Press (CUP) is a publisher located in , . It was founded in 1925 and is associated with . The Press publishes under its own  and two others: Attic (which specializes in ) and Atrium.: p307 
"
Cornell University Press,"The Cornell University Press is a division of  housed in Sage House, the former residence of . It was first established in 1869, making it the first university  enterprise in the United States, but was inactive from 1884 to 1930.
"
Coronet Books,"Coronet Books was established in 1966 as the  imprint of . The imprint was closed in 2004 but then relaunched in 2010, publishing fiction and non-fiction in  and , including works by , , and .
"
Hodder & Stoughton,"Hodder & Stoughton is a British publishing house, now an  of .
"
Counterpoint,"Counterpoint LLC was a  company distributed by  launched in 2007. It was formed from the consolidation of three presses: ' Counterpoint Press, Avalon Publishing Group's Shoemaker & Hoard and the independent . The company published books under the Counterpoint Press and Soft Skull Press imprints. Counterpoint also entered into an agreement for the production, marketing and distribution of approximately eight  titles each year. 
"
Craftsman Book Company,"Craftsman Book Company of America, Inc. is a  U.S. publisher with a comprehensive range of technical references for  professionals.
"
CRC Press,"The CRC Press, LLC is an American publishing group that specializes in producing technical books. Many of their books relate to ,  and . Their scope also includes books on ,  and . CRC Press is now a division of , itself a subsidiary of .
"
Creative Book Publishers International,"Creative Book Publishers International is one of two special imprints of the international Marketing and Publicity Specialist Communication Projects International, the other imprint being Global Book Publishers.
"
Cresset Press,"The Cresset Press was a publishing company in , active as an independent press from 1927 for 40 years, and initially specializing in ""expensively illustrated limited editions of classical works, like 's "" going on to produce well-designed trade editions of literary and political works.  Among the leading illustrators commissioned by Cresset were  and  —  (1928),  (1929), and 's  (1930). Cresset subsequently became part of the  of publishers, and later an imprint of the  within the  Group.
"
Crocker & Brewster,"Crocker & Brewster (1818–1876) was a leading publishing house in , , during its 58-year existence. The business was located at today's 173–175 Washington Street for nearly half a century; in 1864 it moved to the adjoining building, where it remained until the firm's dissolution.
"
Crown Publishing Group,"The Crown Publishing Group is a  of  that publishes across several categories including fiction, non-fiction, biography, autobiography and memoir, cooking, health, business, and lifestyle. Its imprints include Crown, Crown Archetype, Crown Business, Crown Forum, Hogarth, , Clarkson Potter, Potter Craft, Potter Style, , Broadway Paperbacks, Image (formerly Doubleday Religion), WaterBrook/Multnomah, , Rodale Books, , Amphoto Books, and . Formerly, the company also used the Bell Tower Press, Orion Books (unconnected to  in the United Kingdom), and related imprints and subsidiaries, such as Gramercy Publishing Company. However, these have now either been discontinued or transferred to other Random House units.
"
Random House,"
"
D. Appleton & Company,"D. Appleton & Company was an American publishing company founded by , who opened a  which included books. He published his first book in 1831. The company's publications gradually extended over the entire field of literature. It issued the works of contemporary scientists at moderate prices, for example, , , , , etc. Medical books formed a special department, and books in the  for the  market were a specialty which the firm made its own. In  and American history, it had a strong list of names among its authors.
"
D. Reidel,"D. Reidel was an  company based in  established in the 1960s which was independent until the 1990s.[]
"
Springer Science+Business Media,"Springer Science+Business Media, commonly known as Springer, is a German multinational  company of books,  and peer-reviewed journals in science, humanities, technical and medical (STM) publishing.
"
Da Capo Press,"Da Capo Press is an American  company with headquarters in . It is now an imprint of .
"
Perseus Books Group,"
"
Dalkey Archive Press,"Dalkey Archive Press is a publisher of , , and  specializing in the publication or republication of lesser-known, often  works.  The company has offices in , in , and in . The publisher is named for the novel , by the Irish author .
"
David & Charles,"
"
DAW Books,"DAW Books is an American  and  , founded by , along with his wife, , following his departure from  in 1971. The company claims to be ""the first publishing company ever devoted exclusively to science fiction and fantasy."" The first DAW Book published was the 1972 short story collection  by .
"
Donald A. Wollheim,"
"
Dedalus Books,"Dedalus Books is a   specialising in .  As stated on their website, Dedalus specialises in ""its own distinctive genre, which we term distorted reality, where the bizarre, the unusual and the grotesque and the surreal meld in a kind of intellectual fiction which is very European.""
"
Del Rey Books,"Del Rey Books is a branch of , which is owned by  and, in turn, by .  It is a separate  established in 1977 under the editorship of author  and his wife .  It specializes in science fiction and fantasy books, and formerly  under its (now defunct)  imprint.
"
Random House,"
"
Delacorte Press,"Dell Publishing is an American publisher of ,  and , that was founded in 1921 by  with $10,000 (approx. $145,000 in 2021), two employees and one magazine title, , and soon began turning out dozens of , which included penny-a-word detective stories, articles about films, and romance books (or ""smoochies"" as they were known in the slang of the day).
"
Random House,"
"
Deseret Book Company,"
"
Dick & Fitzgerald,"Dick & Fitzgerald was a 19th-century  , founded by William Brisbane Dick (1827–1901)  and Lawrence R. Fitzgerald, based in . They were a publisher of popular books, including music books.
"
Directmedia Publishing,"Directmedia Publishing is a   created in January 1995 by Ralf Szymanski and Erwin Jurschitza as a publisher of . The emphasis of the publishing house's content lies within the field of , particularly scientific collections of texts, and . 
"
Disney Publishing Worldwide,"Disney Publishing Worldwide (DPW), formerly known as The Disney Publishing Group and Buena Vista Publishing Group, is the publishing subsidiary of , a subsidiary of . Its imprints include Disney Editions, Disney Press, Kingswell, Freeform, and Hyperion Books for Children. It has creative centers in , , and in , .
"
DK,"Dorling Kindersley Limited (branded as DK) is a British multinational  company specialising in illustrated reference books for adults and children in 63 languages. 
It is part of , a subsidiary of German media conglomerate .
Established in 1974, DK publishes a range of titles in genres including travel (including ), history, science, nature, sport, gardening, cookery and parenting.  
The worldwide CEO of DK is Carsten Coesfeld. DK has offices in New York, Melbourne, London, Munich, New Delhi, Toronto, Madrid, Beijing and Jiangmen.
DK works with licensing partners such as , , , the , , and the . 
DK has commissioned , , , Huw Richards and  for a range of books.
"
DNA Publications,"DNA Publications was an American publishing company that existed from 1993 to 2007 and was run by the husband-and-wife team of  and . Initially based in Massachusetts, DNA Publications relocated to .[] As of 2004, it was the second-largest genre magazine publisher in the United States. Its first publication, in 1993, was the magazine Harsh Mistress, which Lapine produced in collaboration with Kevin Rogers and Tim Ballon.[]
"
Dobson Books,"Dennis Dobson (1919 – 1978) was a British book publisher who was the eponymous founder of a small but respected company in .
"
"Dodd, Mead & Co.","
"
Dorchester Publishing,"
"
Doubleday,"Doubleday is an American publishing company. It was founded as the Doubleday & McClure Company in 1897 and was the largest in the United States by 1947. It published the work of mostly U.S. authors under a number of imprints and distributed them through its own stores. In 2009 Doubleday merged with Knopf Publishing Group to form the Knopf Doubleday Publishing Group, which is now part of . In 2019, the official website presents Doubleday as an , not a publisher.
"
Random House,"
"
Douglas & McIntyre,"Douglas and McIntyre (2013) Ltd.  is a Canadian book publishing firm.
"
Dove Medical Press,"Dove Medical Press is an  of    and , with offices in ,  (United Kingdom),  (United States), and  (New Zealand). In September 2017, Dove Medical Press was acquired by the .
"
